,,Control,15c,15c,Control,15an,15a,15an,15a
ENSG00000114021,,68,212,74,134,385,125,196,90
ENSG00000273488,,18,0,0,0,0,0,0,0
ENSG00000154174,,684,1019,244,712,1876,1023,923,698
ENSG00000206535,,16,20,0,22,40,6,0,0
ENSG00000181458,,0,24,0,5,8,2,1,0
ENSG00000243495,,0,0,1,0,0,0,0,0
ENSG00000114354,,467,1199,311,861,1569,1164,1153,881
ENSG00000154175,,0,0,13,2,0,0,2,16
ENSG00000213431,,0,0,0,0,0,0,0,0
ENSG00000081148,,0,0,0,0,0,0,0,0
ENSG00000138468,,29,80,4,96,136,79,56,47
ENSG00000241738,,0,7,0,2,0,0,0,4
ENSG00000232830,,0,0,0,0,0,0,0,0
ENSG00000201554,,0,0,0,0,4,0,0,0
ENSG00000174173,,77,182,22,128,342,147,164,80
ENSG00000081154,,408,1167,265,633,1870,991,478,588
ENSG00000242299,,392,502,205,800,2750,697,736,790
ENSG00000243396,,0,2,0,0,0,0,0,0
ENSG00000066422,,110,219,64,191,591,350,271,163
ENSG00000201121,,0,2,0,8,0,0,0,0
ENSG00000256628,,15,24,4,10,40,5,22,1
ENSG00000114391,,664,1120,502,832,2585,1443,630,765
ENSG00000244119,,14,0,0,2,3,1,0,2
ENSG00000182504,,212,418,95,175,269,284,148,239
ENSG00000277430,,0,0,0,0,4,0,0,0
ENSG00000144815,,123,188,86,195,295,366,143,133
ENSG00000144802,,558,1397,230,734,1641,910,659,662
ENSG00000214407,,8,0,0,0,0,0,14,0
ENSG00000170044,,0,0,0,0,0,0,0,0
ENSG00000170017,,950,1317,201,1319,1947,1246,1059,650
ENSG00000114423,,311,813,114,298,763,492,518,244
ENSG00000242759,,0,0,0,0,0,0,0,0
ENSG00000241787,,0,0,0,0,0,0,0,0
ENSG00000243658,,0,0,0,0,0,0,0,0
ENSG00000250630,,0,0,0,0,0,0,0,0
ENSG00000239586,,0,0,0,0,0,0,0,0
ENSG00000240796,,0,0,0,0,0,0,0,0
ENSG00000239455,,0,0,0,0,1,0,0,0
ENSG00000243701,,0,4,0,2,0,0,0,0
ENSG00000239828,,0,0,0,0,0,0,0,0
ENSG00000241218,,0,0,0,0,0,0,0,0
ENSG00000272597,,0,0,0,0,0,0,0,0
ENSG00000273125,,0,0,0,0,0,0,0,0
ENSG00000114439,,613,1093,314,651,1544,887,727,492
ENSG00000279277,,0,0,0,0,0,0,0,0
ENSG00000196776,,352,984,277,512,1048,626,567,477
ENSG00000114446,,99,116,110,81,298,84,119,158
ENSG00000114455,,2,16,12,12,52,42,23,12
ENSG00000144821,,0,4,0,0,0,0,0,8
ENSG00000241634,,0,16,0,14,4,0,0,4
ENSG00000163507,,71,218,63,224,239,169,168,141
ENSG00000202379,,0,0,0,0,0,8,0,0
ENSG00000276763,,4,10,0,34,0,0,0,8
ENSG00000198919,,110,145,22,90,142,8,111,106
ENSG00000114487,,0,0,0,0,0,0,0,0
ENSG00000221633,,0,0,0,0,0,0,0,0
ENSG00000261364,,0,0,0,0,0,0,0,0
ENSG00000214381,,0,0,0,2,12,0,0,0
ENSG00000252889,,0,0,0,0,0,0,0,0
ENSG00000239288,,0,0,0,0,0,0,0,0
ENSG00000121570,,0,0,0,0,0,0,0,0
ENSG00000214380,,0,0,6,0,0,0,0,0
ENSG00000243945,,0,0,0,0,6,0,0,32
ENSG00000244722,,0,0,0,0,1,0,0,0
ENSG00000206532,,0,6,0,0,12,0,0,0
ENSG00000242242,,0,0,0,20,0,0,0,24
ENSG00000177707,,74,242,50,107,236,131,68,88
ENSG00000240787,,0,4,0,14,0,0,0,0
ENSG00000177494,,0,0,0,8,2,2,0,0
ENSG00000240891,,30,59,42,51,97,39,26,46
ENSG00000240766,,0,0,0,0,22,0,0,0
ENSG00000144824,,82,312,46,160,304,170,178,104
ENSG00000144827,,217,408,84,245,509,459,476,261
ENSG00000176040,,0,0,0,0,0,0,10,0
ENSG00000114529,,0,26,2,28,29,30,80,26
ENSG00000207940,,0,0,0,0,0,0,0,0
ENSG00000174500,,0,6,0,4,1,0,14,0
ENSG00000261488,,0,0,4,0,1,0,0,0
ENSG00000172139,,0,0,0,0,4,8,26,0
ENSG00000244144,,0,27,0,0,42,1,8,0
ENSG00000242525,,4,0,0,0,0,0,0,0
ENSG00000279349,,0,12,6,0,0,22,34,0
ENSG00000144848,,128,268,118,145,383,439,259,123
ENSG00000138459,,46,112,34,64,95,104,28,56
ENSG00000272761,,0,10,0,0,20,0,0,0
ENSG00000091986,,63,93,31,44,191,130,70,62
ENSG00000242308,,8,0,3,8,0,0,0,0
ENSG00000240893,,40,116,0,37,34,72,48,48
ENSG00000206531,,0,60,0,18,18,4,77,34
ENSG00000242770,,2,22,0,38,18,0,0,10
ENSG00000163606,,2,52,0,14,60,14,50,8
ENSG00000272844,,0,8,0,0,0,0,0,2
ENSG00000163607,,45,62,32,10,87,47,43,12
ENSG00000163608,,86,387,93,140,351,234,230,220
ENSG00000240057,,0,12,0,4,16,26,0,4
ENSG00000241219,,0,0,0,0,0,0,11,0
ENSG00000144857,,31,48,6,60,129,29,26,68
ENSG00000206530,,27,67,10,30,135,76,107,6
ENSG00000243849,,8,0,0,0,0,0,0,0
ENSG00000275670,,0,0,0,0,4,0,0,0
ENSG00000163611,,161,234,48,195,309,323,273,149
ENSG00000072858,,2,9,0,6,15,8,0,4
ENSG00000241529,,51,161,34,72,209,119,84,55
ENSG00000176542,,182,483,100,297,646,414,323,343
ENSG00000121579,,846,1135,387,922,2189,1535,864,994
ENSG00000239280,,13,0,0,0,0,12,0,0
ENSG00000242659,,0,0,0,0,0,0,0,0
ENSG00000114573,,277,557,125,393,909,573,390,252
ENSG00000178075,,10,54,0,68,84,79,6,0
ENSG00000241889,,1,0,0,0,0,0,0,0
ENSG00000240375,,0,0,1,0,0,0,0,0
ENSG00000184307,,75,179,56,72,285,132,34,26
ENSG00000163617,,26,4,22,113,106,24,20,24
ENSG00000270880,,0,0,0,0,0,0,16,0
ENSG00000151576,,195,272,86,142,357,316,248,158
ENSG00000216136,,0,0,10,0,0,0,0,0
ENSG00000181847,,0,0,0,0,0,0,0,0
ENSG00000259976,,37,56,0,18,73,32,28,13
ENSG00000207770,,0,3,0,0,40,4,0,0
ENSG00000181722,,319,486,58,120,476,319,224,208
ENSG00000241560,,10,2,4,8,8,18,0,5
ENSG00000242290,,0,2,0,6,2,0,0,0
ENSG00000241295,,0,4,0,0,0,0,0,0
ENSG00000239946,,0,0,6,21,4,0,0,0
ENSG00000240002,,0,0,0,0,0,0,0,0
ENSG00000242767,,0,6,0,0,0,2,37,0
ENSG00000279131,,0,0,0,14,0,0,6,0
ENSG00000279380,,7,12,0,0,0,0,0,8
ENSG00000172020,,12,0,18,22,0,0,0,14
ENSG00000241596,,0,10,0,0,8,4,0,0
ENSG00000185565,,24,20,0,30,24,58,2,6
ENSG00000241156,,0,2,0,0,0,0,0,0
ENSG00000198406,,3,2,3,14,6,0,2,0
ENSG00000243014,,0,1,0,0,1,0,0,0
ENSG00000239268,,0,0,0,0,0,0,0,0
ENSG00000277906,,0,0,0,0,0,0,0,0
ENSG00000144847,,0,0,0,0,2,4,0,0
ENSG00000114638,,40,134,9,28,211,157,113,13
ENSG00000121578,,143,339,68,246,549,181,206,166
ENSG00000240254,,0,0,0,0,0,0,0,0
ENSG00000031081,,8,0,0,2,6,24,0,0
ENSG00000241155,,0,0,0,0,0,0,0,0
ENSG00000176142,,190,564,123,173,437,312,452,229
ENSG00000163389,,98,64,38,62,253,32,46,44
ENSG00000272662,,0,0,0,0,0,0,0,0
ENSG00000113845,,115,641,78,153,647,237,291,181
ENSG00000144843,,0,0,0,0,0,0,8,0
ENSG00000144837,,12,6,0,16,38,2,16,30
ENSG00000121577,,0,0,0,0,0,0,0,0
ENSG00000138495,,163,448,157,231,950,511,338,220
ENSG00000183833,,0,28,0,0,0,0,0,0
ENSG00000144852,,4,104,27,10,140,42,92,82
ENSG00000240471,,0,0,0,0,0,0,18,0
ENSG00000082701,,623,1349,261,732,1772,1062,882,819
ENSG00000239835,,0,0,0,0,0,0,0,0
ENSG00000242622,,0,79,16,52,26,36,41,7
ENSG00000244139,,0,1,0,0,0,0,0,0
ENSG00000175697,,0,0,0,0,0,0,0,22
ENSG00000240882,,0,0,0,0,0,0,0,0
ENSG00000163428,,472,1101,274,663,1721,1077,941,627
ENSG00000240661,,0,0,0,0,14,0,0,0
ENSG00000163430,,0,0,2,2,2,0,0,0
ENSG00000240774,,0,0,0,0,0,0,0,0
ENSG00000065518,,396,654,257,433,1571,700,457,410
ENSG00000113924,,89,336,230,90,684,236,228,174
ENSG00000144840,,136,232,87,158,205,241,200,151
ENSG00000153767,,74,64,47,122,246,97,30,27
ENSG00000213371,,0,0,0,0,4,4,0,0
ENSG00000145087,,0,0,0,10,34,0,0,0
ENSG00000051341,,122,300,66,191,200,168,86,128
ENSG00000242445,,12,17,39,49,83,70,30,57
ENSG00000163833,,0,0,0,0,0,0,0,0
ENSG00000180353,,0,0,0,0,0,0,0,0
ENSG00000243544,,0,0,0,0,1,0,0,0
ENSG00000173230,,668,1380,456,813,2060,1354,1356,710
ENSG00000173226,,22,168,50,82,257,151,127,81
ENSG00000145088,,22,18,0,8,41,2,0,0
ENSG00000163406,,8,0,0,10,2,0,6,0
ENSG00000121552,,0,2,0,4,13,0,2,18
ENSG00000160124,,43,103,9,49,202,47,14,76
ENSG00000114023,,246,414,90,124,578,394,177,233
ENSG00000196981,,22,12,16,45,102,20,29,51
ENSG00000272758,,4,16,0,4,14,8,0,3
ENSG00000242531,,0,0,0,0,0,6,0,0
ENSG00000114030,,264,371,192,326,919,443,398,333
ENSG00000275348,,0,2,0,0,10,0,0,0
ENSG00000138496,,57,75,12,56,126,109,51,61
ENSG00000163840,,189,562,155,246,998,635,424,223
ENSG00000243918,,0,0,0,2,0,0,0,4
ENSG00000173193,,384,1413,275,647,1967,1122,1125,783
ENSG00000169087,,44,59,37,60,98,44,94,60
ENSG00000138463,,119,357,94,143,774,401,434,247
ENSG00000273033,,0,221,72,12,205,45,96,30
ENSG00000065485,,101,531,64,266,545,357,446,280
ENSG00000121542,,34,69,14,21,164,52,96,43
ENSG00000273454,,0,6,0,0,0,0,0,0
ENSG00000173175,,2,4,0,0,10,2,0,2
ENSG00000206527,,344,582,218,529,1324,644,284,298
ENSG00000239523,,2,42,0,4,11,28,0,0
ENSG00000065534,,420,1023,80,557,1069,504,576,587
ENSG00000250174,,0,0,0,0,0,0,0,20
ENSG00000273123,,0,12,0,0,0,0,0,0
ENSG00000207002,,0,0,0,0,0,0,0,0
ENSG00000175455,,336,604,112,516,734,426,442,369
ENSG00000160145,,48,135,4,82,216,112,40,63
ENSG00000240622,,0,0,0,0,0,0,0,0
ENSG00000114491,,159,324,85,147,461,269,164,105
ENSG00000265981,,0,0,0,5,0,0,0,0
ENSG00000242199,,0,6,0,0,10,0,0,18
ENSG00000272947,,0,0,7,16,7,16,2,0
ENSG00000082781,,2151,4623,1334,2642,7117,4118,3370,2687
ENSG00000244286,,13,0,0,0,22,2,2,3
ENSG00000280042,,30,20,20,10,44,0,29,6
ENSG00000243986,,0,23,0,0,0,0,20,0
ENSG00000173702,,48,158,73,91,763,221,148,154
ENSG00000173706,,496,960,222,664,1622,872,560,756
ENSG00000221955,,69,254,4,143,376,163,243,120
ENSG00000199327,,0,0,0,0,0,0,14,0
ENSG00000264986,,0,0,0,0,0,0,0,12
ENSG00000163848,,264,723,177,407,1042,508,457,285
ENSG00000229048,,0,0,0,0,0,0,0,4
ENSG00000243508,,0,8,0,0,10,0,0,2
ENSG00000114520,,213,248,78,236,534,339,192,275
ENSG00000201800,,0,0,0,0,10,0,0,0
ENSG00000252965,,0,1,0,0,7,0,0,0
ENSG00000144909,,22,155,23,112,191,135,149,68
ENSG00000241288,,8,20,0,6,33,0,24,0
ENSG00000241278,,0,0,0,0,14,0,0,8
ENSG00000248787,,0,4,0,0,0,6,0,0
ENSG00000171084,,8,0,0,16,10,2,0,2
ENSG00000189366,,0,28,0,0,32,21,0,0
ENSG00000114547,,0,0,0,0,0,0,7,0
ENSG00000114544,,56,268,48,93,626,204,158,209
ENSG00000248607,,0,0,0,0,0,0,0,0
ENSG00000250012,,0,12,0,0,0,0,0,0
ENSG00000144908,,0,0,0,0,0,0,0,0
ENSG00000163885,,0,2,0,9,0,0,12,0
ENSG00000279328,,0,1,0,0,22,0,0,0
ENSG00000070476,,226,597,135,148,828,282,400,285
ENSG00000180767,,0,24,12,0,24,16,6,6
ENSG00000180697,,0,0,0,0,0,4,0,0
ENSG00000197763,,73,219,66,140,328,205,86,57
ENSG00000248557,,0,0,0,0,19,0,0,0
ENSG00000248850,,0,0,0,0,0,8,0,0
ENSG00000159685,,106,160,112,163,308,196,112,93
ENSG00000249558,,0,14,0,18,0,24,4,0
ENSG00000280053,,0,0,0,0,0,4,0,0
ENSG00000114554,,2602,6788,1217,3517,6906,3573,4550,3736
ENSG00000239921,,20,0,0,0,0,0,0,0
ENSG00000163870,,373,1529,450,434,3659,1048,1441,786
ENSG00000275067,,0,2,0,0,0,2,0,0
ENSG00000276083,,0,0,0,0,0,7,0,0
ENSG00000073111,,703,745,214,743,1756,1103,525,647
ENSG00000114631,,144,319,118,265,738,263,348,167
ENSG00000114626,,170,521,136,347,1093,591,363,170
ENSG00000074416,,618,2121,613,1209,4056,1787,1302,947
ENSG00000187715,,16,4,0,16,1,0,0,28
ENSG00000058262,,1306,3957,981,1883,5327,3090,2793,2104
ENSG00000175792,,350,519,324,581,1323,623,408,415
ENSG00000222627,,1,0,0,10,0,0,0,3
ENSG00000239608,,0,22,0,0,8,10,0,8
ENSG00000132394,,101,276,32,85,239,135,124,137
ENSG00000242049,,0,0,0,0,0,0,0,0
ENSG00000179348,,383,651,285,582,1702,1107,311,632
ENSG00000244300,,151,284,158,180,566,342,152,297
ENSG00000239405,,0,6,0,0,0,0,0,0
ENSG00000198685,,8,0,1,10,4,0,0,0
ENSG00000163902,,1290,2550,535,1848,4333,2225,2141,1569
ENSG00000075785,,936,3111,828,1557,4893,2302,1859,1743
ENSG00000239503,,28,72,4,26,56,44,34,14
ENSG00000242992,,2,52,6,26,6,22,8,34
ENSG00000244232,,0,36,2,2,0,20,10,0
ENSG00000239483,,21,0,0,18,3,5,0,0
ENSG00000261159,,0,0,0,0,0,0,0,1
ENSG00000231305,,0,0,0,2,0,0,0,0
ENSG00000177646,,269,707,132,346,928,610,445,418
ENSG00000114656,,6,0,0,0,0,0,0,0
ENSG00000187695,,0,0,0,0,11,0,8,4
ENSG00000279507,,0,0,0,0,19,0,0,0
ENSG00000114654,,0,0,0,10,0,0,0,8
ENSG00000172780,,145,220,68,174,290,326,231,205
ENSG00000273174,,2,0,0,0,0,0,0,0
ENSG00000240682,,181,302,98,131,287,315,225,122
ENSG00000273437,,0,11,0,2,35,4,6,27
ENSG00000169714,,1686,4412,866,2040,5682,2973,2791,1918
ENSG00000181789,,1002,2919,507,1506,4032,1920,2241,1143
ENSG00000278658,,0,0,0,0,0,0,0,14
ENSG00000183624,,310,944,326,580,1400,797,689,637
ENSG00000184897,,692,2379,543,1230,2892,1711,1204,1074
ENSG00000206417,,23,20,11,105,14,29,24,6
ENSG00000244932,,8,35,2,0,49,42,11,5
ENSG00000251474,,124,417,58,282,545,268,309,145
ENSG00000207088,,336,746,110,432,880,551,603,347
ENSG00000172771,,0,4,0,2,8,40,23,8
ENSG00000129071,,267,386,89,340,619,386,451,214
ENSG00000163913,,114,218,69,171,263,282,124,199
ENSG00000004399,,7945,12847,2825,12181,16138,11197,7202,8822
ENSG00000239437,,9,14,2,8,9,10,13,13
ENSG00000248659,,0,0,0,0,0,2,0,0
ENSG00000172765,,173,307,81,271,658,413,245,158
ENSG00000202412,,12,34,0,0,0,2,0,0
ENSG00000252786,,0,0,0,0,0,0,0,12
ENSG00000203644,,0,22,0,3,26,3,0,0
ENSG00000271270,,0,20,2,6,60,10,1,0
ENSG00000251287,,0,0,0,0,0,9,0,0
ENSG00000248243,,0,0,0,0,8,0,0,0
ENSG00000253540,,4,6,0,2,62,36,0,25
ENSG00000206384,,0,48,0,4,0,8,2,20
ENSG00000196455,,190,370,160,293,597,316,238,164
ENSG00000017260,,574,1190,396,701,1963,1075,813,492
ENSG00000280127,,0,0,0,0,0,0,0,0
ENSG00000250592,,0,0,0,0,18,0,0,0
ENSG00000252894,,0,0,0,0,0,0,0,0
ENSG00000249098,,4,0,0,0,4,16,0,0
ENSG00000251579,,0,0,0,0,0,0,0,0
ENSG00000034533,,14,24,28,61,110,40,19,2
ENSG00000114670,,12,4,6,28,40,18,44,9
ENSG00000250129,,0,4,0,0,6,0,0,0
ENSG00000250608,,0,16,0,6,0,4,2,14
ENSG00000246082,,40,197,66,150,202,68,131,110
ENSG00000198585,,150,380,163,274,805,331,336,252
ENSG00000261167,,4,20,34,6,14,6,22,10
ENSG00000114686,,335,572,161,234,880,592,405,386
ENSG00000249020,,915,2003,666,1009,2525,2153,1706,1242
ENSG00000248530,,0,0,0,1,0,2,0,0
ENSG00000240854,,10,0,0,2,4,0,0,0
ENSG00000014257,,0,0,0,0,0,0,0,0
ENSG00000138246,,449,689,270,460,957,804,560,503
ENSG00000240303,,0,0,0,0,0,0,0,0
ENSG00000274810,,0,0,0,0,0,0,0,0
ENSG00000129048,,0,16,2,0,14,16,0,0
ENSG00000251614,,0,0,0,8,0,4,0,0
ENSG00000081307,,125,184,52,113,337,237,171,43
ENSG00000113971,,64,38,20,67,193,94,108,64
ENSG00000248724,,0,14,0,2,4,4,0,0
ENSG00000272832,,0,16,0,0,0,0,0,0
ENSG00000250983,,0,0,0,0,0,0,6,0
ENSG00000091527,,879,1642,610,1034,2517,1469,1254,1093
ENSG00000163781,,209,350,196,344,994,463,364,339
ENSG00000242337,,0,0,0,1,0,0,0,0
ENSG00000252641,,0,9,0,0,0,0,0,0
ENSG00000091513,,38,0,0,112,26,4,20,0
ENSG00000144867,,221,334,87,231,617,273,426,208
ENSG00000154917,,0,13,0,14,20,9,40,30
ENSG00000174640,,0,0,0,0,0,0,0,0
ENSG00000163785,,183,556,190,362,816,331,365,309
ENSG00000231845,,0,0,0,0,28,0,0,0
ENSG00000240006,,0,0,0,2,0,0,0,0
ENSG00000260633,,12,0,0,0,0,0,0,0
ENSG00000214289,,0,0,4,0,0,0,0,0
ENSG00000114019,,248,561,226,431,1482,866,340,390
ENSG00000277723,,0,0,0,0,0,0,0,0
ENSG00000129055,,34,201,61,53,262,156,95,46
ENSG00000182923,,96,86,40,70,154,68,126,125
ENSG00000249691,,4,0,0,0,0,0,4,0
ENSG00000154928,,0,0,0,0,0,8,0,0
ENSG00000174611,,0,0,0,0,0,0,0,0
ENSG00000201413,,0,1,1,1,1,3,0,0
ENSG00000240086,,0,0,0,0,0,0,0,0
ENSG00000073711,,56,263,76,174,442,180,282,120
ENSG00000227267,,0,0,0,0,0,2,0,0
ENSG00000174579,,307,657,191,334,824,591,451,234
ENSG00000241438,,4,10,3,20,16,0,0,0
ENSG00000114054,,353,608,208,289,969,745,396,330
ENSG00000118007,,147,284,141,199,472,253,130,112
ENSG00000244101,,0,0,3,0,0,0,0,0
ENSG00000240695,,0,0,10,12,0,0,3,11
ENSG00000261758,,0,20,0,2,10,18,6,0
ENSG00000168917,,4,100,0,8,124,18,62,114
ENSG00000273486,,10,34,0,26,87,18,69,4
ENSG00000239213,,26,132,36,66,204,43,40,53
ENSG00000158092,,206,646,124,274,545,367,332,220
ENSG00000214283,,0,8,0,0,14,8,20,18
ENSG00000174564,,68,69,0,33,21,26,24,40
ENSG00000249407,,0,0,0,0,0,0,0,2
ENSG00000241478,,0,0,8,0,0,2,0,2
ENSG00000066405,,0,12,4,32,8,16,22,2
ENSG00000272609,,0,0,0,22,0,0,0,0
ENSG00000158163,,39,137,42,98,153,83,101,58
ENSG00000240668,,10,0,0,0,0,10,0,0
ENSG00000118017,,0,0,0,0,12,0,0,0
ENSG00000138231,,48,200,52,55,297,148,42,122
ENSG00000114098,,90,162,90,99,281,262,177,138
ENSG00000181322,,4,18,0,4,31,2,4,9
ENSG00000158186,,0,22,0,0,0,0,0,0
ENSG00000158220,,0,0,0,0,0,0,0,16
ENSG00000280399,,0,0,0,0,0,0,0,0
ENSG00000114107,,127,130,30,200,206,169,142,77
ENSG00000158234,,55,52,31,85,138,114,28,26
ENSG00000174715,,0,0,0,0,6,0,0,0
ENSG00000051382,,338,830,222,503,1096,572,463,460
ENSG00000239207,,20,18,10,32,11,18,6,14
ENSG00000242321,,14,12,0,0,26,0,0,0
ENSG00000241429,,10,48,21,14,22,2,0,0
ENSG00000244578,,0,0,0,0,0,10,0,0
ENSG00000183770,,0,0,0,0,0,0,0,0
ENSG00000206262,,0,0,0,0,0,0,0,0
ENSG00000175110,,159,269,119,165,491,228,237,170
ENSG00000272656,,0,0,0,4,14,0,0,0
ENSG00000184432,,908,2598,408,1035,2824,1752,1664,1186
ENSG00000252245,,33,6,0,0,3,7,0,12
ENSG00000248932,,18,21,4,46,6,54,40,0
ENSG00000114113,,0,0,0,0,0,0,0,0
ENSG00000178631,,0,2,0,0,0,0,0,0
ENSG00000114115,,0,0,0,0,0,6,0,0
ENSG00000244692,,0,0,0,0,7,0,0,0
ENSG00000158258,,0,0,0,0,0,0,0,0
ENSG00000114120,,67,260,48,139,338,211,185,197
ENSG00000248773,,0,0,0,0,0,0,0,0
ENSG00000155893,,52,95,40,108,94,102,110,156
ENSG00000241400,,0,2,0,0,0,0,0,0
ENSG00000249417,,0,0,0,0,16,0,0,0
ENSG00000249540,,0,0,0,0,0,0,0,0
ENSG00000177311,,286,585,179,454,1086,550,494,395
ENSG00000155903,,181,282,70,131,315,169,187,168
ENSG00000250170,,0,21,6,10,0,14,6,0
ENSG00000249986,,12,0,0,0,0,0,2,5
ENSG00000114125,,124,231,165,133,794,299,196,196
ENSG00000265391,,0,0,0,0,0,0,0,0
ENSG00000069849,,282,403,183,287,852,663,325,279
ENSG00000244124,,0,0,0,0,0,0,0,0
ENSG00000279147,,0,2,0,2,0,6,2,4
ENSG00000269905,,81,213,176,161,480,179,125,105
ENSG00000114126,,42,115,32,72,173,79,160,68
ENSG00000233597,,14,0,0,1,4,0,6,6
ENSG00000272565,,111,188,36,90,219,151,166,48
ENSG00000175066,,93,210,55,136,267,112,198,150
ENSG00000114127,,191,582,74,397,822,414,244,293
ENSG00000251804,,0,0,0,0,0,0,0,0
ENSG00000202125,,2,0,0,0,10,0,4,0
ENSG00000175054,,169,434,54,259,654,535,275,353
ENSG00000244327,,0,6,0,14,0,9,1,20
ENSG00000242390,,0,0,0,0,0,0,0,0
ENSG00000120756,,389,549,128,451,1070,734,444,363
ENSG00000199319,,0,0,0,0,0,0,0,13
ENSG00000144935,,174,371,54,239,499,212,304,184
ENSG00000163710,,106,128,65,44,281,204,95,52
ENSG00000240950,,9,12,0,0,15,8,12,0
ENSG00000188582,,0,48,2,26,39,10,26,52
ENSG00000241592,,0,0,0,0,0,20,0,0
ENSG00000241570,,0,0,0,12,7,0,0,0
ENSG00000163714,,468,606,206,377,1176,727,366,307
ENSG00000175040,,0,0,0,0,0,0,0,0
ENSG00000244171,,4,10,4,6,6,1,3,0
ENSG00000181804,,0,0,0,0,0,0,0,14
ENSG00000240888,,0,0,0,0,0,0,0,0
ENSG00000243759,,1,26,8,10,35,32,11,3
ENSG00000181744,,56,129,52,17,243,122,86,69
ENSG00000239797,,0,0,0,0,0,2,0,0
ENSG00000261051,,6,6,22,2,12,0,0,0
ENSG00000243415,,0,4,0,0,0,10,0,10
ENSG00000240032,,24,0,0,0,0,0,0,10
ENSG00000152952,,488,715,130,672,1012,754,313,404
ENSG00000114698,,59,120,5,159,286,136,132,69
ENSG00000163746,,0,0,0,0,0,0,0,0
ENSG00000188313,,197,443,104,141,462,466,235,228
ENSG00000243620,,0,0,0,0,0,0,0,0
ENSG00000174963,,0,0,0,0,0,0,0,0
ENSG00000152977,,0,0,0,0,0,0,0,0
ENSG00000144891,,265,384,129,282,510,249,240,279
ENSG00000153002,,0,0,0,0,10,0,0,0
ENSG00000241627,,82,275,114,132,471,268,152,151
ENSG00000163754,,69,138,58,67,316,165,97,176
ENSG00000071794,,195,371,72,210,434,251,220,174
ENSG00000201031,,0,0,0,0,1,0,0,0
ENSG00000163755,,543,985,206,972,1540,889,667,600
ENSG00000047457,,1120,1104,276,1294,1395,979,736,585
ENSG00000240216,,22,16,4,8,15,0,0,0
ENSG00000163762,,337,299,87,261,626,333,208,139
ENSG00000169908,,1210,1901,755,1899,3262,1874,1101,1451
ENSG00000240541,,0,2,0,0,0,0,0,0
ENSG00000169903,,0,0,0,14,0,0,0,0
ENSG00000018408,,391,1027,351,722,1936,922,636,582
ENSG00000252581,,0,0,0,0,8,0,12,0
ENSG00000241985,,22,59,22,63,141,45,35,24
ENSG00000241313,,3,0,0,0,28,0,2,2
ENSG00000114744,,149,256,143,146,631,260,303,164
ENSG00000206199,,8,0,20,0,0,0,0,0
ENSG00000082996,,83,204,82,93,389,153,255,136
ENSG00000252172,,0,0,0,0,4,0,0,0
ENSG00000239351,,0,0,0,8,0,0,0,8
ENSG00000070087,,339,859,115,598,1460,772,596,336
ENSG00000242791,,0,0,0,0,0,0,0,0
ENSG00000224831,,3,29,5,18,12,21,4,2
ENSG00000243944,,0,18,0,0,22,0,0,0
ENSG00000240477,,0,0,0,0,0,0,0,0
ENSG00000243321,,0,0,0,0,0,0,0,0
ENSG00000243550,,0,0,0,0,0,0,0,0
ENSG00000196428,,363,1031,317,542,1348,855,795,666
ENSG00000120742,,604,1298,289,891,1834,926,1398,869
ENSG00000144895,,166,245,63,178,370,218,212,165
ENSG00000198843,,202,482,79,353,897,393,214,215
ENSG00000271711,,2,0,0,0,0,0,0,2
ENSG00000163645,,0,0,0,0,0,4,0,0
ENSG00000240137,,0,0,4,0,0,0,0,0
ENSG00000244668,,0,0,0,0,2,0,0,10
ENSG00000181788,,256,357,70,223,530,405,405,202
ENSG00000244265,,0,20,0,4,2,14,7,6
ENSG00000144893,,0,0,0,0,0,0,0,0
ENSG00000199994,,0,0,0,0,0,0,0,0
ENSG00000152580,,66,15,16,42,0,16,34,0
ENSG00000242908,,0,16,0,4,0,0,13,42
ENSG00000242097,,0,0,0,0,0,0,16,0
ENSG00000240602,,22,28,12,6,4,6,26,5
ENSG00000250271,,0,25,0,2,12,0,40,9
ENSG00000114771,,23,8,6,2,37,48,2,0
ENSG00000198829,,0,0,0,0,0,0,0,18
ENSG00000152601,,1174,1428,518,1600,2274,1568,1249,1098
ENSG00000229619,,20,9,28,0,35,0,0,19
ENSG00000221962,,0,28,0,19,7,4,0,0
ENSG00000201217,,6,0,0,0,0,0,0,0
ENSG00000169860,,2,2,0,4,14,0,2,2
ENSG00000241732,,11,0,0,0,0,14,4,0
ENSG00000241671,,0,0,0,0,4,0,0,0
ENSG00000244268,,29,2,0,0,10,0,2,0
ENSG00000181467,,829,1430,392,1210,1776,1223,888,854
ENSG00000114790,,7,5,0,3,15,4,3,9
ENSG00000174953,,160,371,160,255,670,391,342,294
ENSG00000240048,,0,0,0,0,0,0,0,2
ENSG00000196549,,0,0,0,0,0,2,0,0
ENSG00000239443,,1,0,0,0,0,0,0,0
ENSG00000114805,,253,337,39,225,500,324,96,198
ENSG00000239508,,0,0,0,8,38,0,0,10
ENSG00000239212,,26,0,0,0,4,0,0,0
ENSG00000214919,,0,4,0,8,22,0,0,12
ENSG00000174928,,54,132,16,39,166,67,42,69
ENSG00000169359,,241,912,266,279,908,591,640,383
ENSG00000163655,,231,755,299,506,1184,709,391,412
ENSG00000240489,,103,124,54,93,200,71,54,133
ENSG00000169282,,16,88,28,54,19,12,111,10
