Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0598608,Hyperhomocysteinemia,,-3.4,8.1,5.6,30284,246,76,5,6.6,2.8,1543|5465|5743|7412|8878,CYP1A1|PPARA|PTGS2|VCAM1|SQSTM1,-0.94,MyList
DisGeNET,35,C0038013,Ankylosing spondylitis,,-3.4,4.5,4.7,30284,710,76,8,11,3.5,1543|1545|1591|5743|7433|8878|9518|25987,CYP1A1|CYP1B1|CYP24A1|PTGS2|VIPR1|SQSTM1|GDF15|TSKU,-0.93,MyList
DisGeNET,35,C0856169,Endothelial dysfunction,,-3.4,4.5,4.7,30284,716,76,8,11,3.5,290|5743|7412|8856|8878|9518|11093|80274,ANPEP|PTGS2|VCAM1|NR1I2|SQSTM1|GDF15|ADAMTS13|SCUBE1,-0.91,MyList
DisGeNET,35,C0011265,Presenile dementia,,-3.4,4.5,4.7,30284,716,76,8,11,3.5,1917|5465|5743|7412|8856|8878|9518|11093,EEF1A2|PPARA|PTGS2|VCAM1|NR1I2|SQSTM1|GDF15|ADAMTS13,-0.91,MyList
Cell Type Signatures,7,M39322,CUI DEVELOPING HEART VALVAR ENDOTHELIAL CELL,,-3.4,11,6.2,30284,141,76,4,5.3,2.6,1545|5743|23764|25976,CYP1B1|PTGS2|MAFF|TIPARP,-0.9,MyList
DisGeNET,35,C0020488,Hypernatremia,,-3.4,20,7.4,30284,59,76,3,3.9,2.2,360|5743|6550,AQP3|PTGS2|SLC9A3,-0.9,MyList
DisGeNET,35,C0014173,Endometrial Hyperplasia,,-3.3,11,6.1,30284,143,76,4,5.3,2.6,1543|5465|5743|8878,CYP1A1|PPARA|PTGS2|SQSTM1,-0.89,MyList
DisGeNET,35,C0027498,Nausea and vomiting,,-3.3,7.8,5.5,30284,257,76,5,6.6,2.8,1543|5743|8856|8878|9518,CYP1A1|PTGS2|NR1I2|SQSTM1|GDF15,-0.88,MyList
Cell Type Signatures,7,M39174,MURARO PANCREAS ACINAR CELL,,-3.3,4.4,4.6,30284,731,76,8,11,3.5,290|1543|8878|9518|10723|11015|64838|79152,ANPEP|CYP1A1|SQSTM1|GDF15|SLC12A7|KDELR3|FNDC4|FA2H,-0.87,MyList
DisGeNET,35,C0220641,Lip and Oral Cavity Carcinoma,,-3.3,4.3,4.6,30284,734,76,8,11,3.5,360|1543|1591|5465|5743|8878|9518|57491,AQP3|CYP1A1|CYP24A1|PPARA|PTGS2|SQSTM1|GDF15|AHRR,-0.87,MyList
Cell Type Signatures,7,M41677,TRAVAGLINI LUNG LIPOFIBROBLAST CELL,,-3.3,11,6,30284,146,76,4,5.3,2.6,1545|23764|25976|64838,CYP1B1|MAFF|TIPARP|FNDC4,-0.87,MyList
DisGeNET,35,C0033975,Psychotic Disorders,,-3.3,5,4.8,30284,559,76,7,9.2,3.3,1917|6581|7412|8140|8856|8878|9518,EEF1A2|SLC22A3|VCAM1|SLC7A5|NR1I2|SQSTM1|GDF15,-0.87,MyList
DisGeNET,35,C0220668,Congenital contractural arachnodactyly,,-3.3,5,4.8,30284,559,76,7,9.2,3.3,2069|4586|5743|6520|6581|7032|8140,EREG|MUC5AC|PTGS2|SLC3A2|SLC22A3|TFF2|SLC7A5,-0.87,MyList
DisGeNET,35,C4321477,Sickle Cell-SS Disease,,-3.3,19,7.2,30284,62,76,3,3.9,2.2,7412|9518|54658,VCAM1|GDF15|UGT1A1,-0.87,MyList
DisGeNET,35,C1762616,"Meningioma, benign, no ICD-O subtype",,-3.3,5.9,5,30284,404,76,6,7.9,3.1,290|1543|1545|5465|5743|25976,ANPEP|CYP1A1|CYP1B1|PPARA|PTGS2|TIPARP,-0.87,MyList
COVID,200,COVID027,RNA_Lamers_intestinal-organoid_expansion_Down,,-3.3,7.5,5.4,30284,264,76,5,6.6,2.8,5465|7032|51703|120224|122416,PPARA|TFF2|ACSL5|TMEM45B|ANKRD9,-0.87,MyList
COVID,200,COVID042,RNA_Sun_Calu-3_7h_Up,,-3.3,19,7.2,30284,63,76,3,3.9,2.2,1543|1545|25976,CYP1A1|CYP1B1|TIPARP,-0.87,MyList
DisGeNET,35,C0742343,Acute Chest Syndrome,,-3.3,5.9,5,30284,405,76,6,7.9,3.1,1543|5465|5743|7412|9518|51703,CYP1A1|PPARA|PTGS2|VCAM1|GDF15|ACSL5,-0.87,MyList
DisGeNET,35,C0278877,Adult Meningioma,,-3.3,5.9,5,30284,405,76,6,7.9,3.1,290|1543|1545|5465|5743|25976,ANPEP|CYP1A1|CYP1B1|PPARA|PTGS2|TIPARP,-0.87,MyList
DisGeNET,35,C0010692,Cystitis,,-3.3,11,6,30284,149,76,4,5.3,2.6,4586|5743|6581|8878,MUC5AC|PTGS2|SLC22A3|SQSTM1,-0.87,MyList
DisGeNET,35,C0314719,Dryness of eye,,-3.3,11,6,30284,149,76,4,5.3,2.6,4586|5465|5743|8878,MUC5AC|PPARA|PTGS2|SQSTM1,-0.87,MyList
DisGeNET,35,C0334037,Intestinal metaplasia,,-3.3,7.5,5.3,30284,266,76,5,6.6,2.8,4586|5743|7032|9518|51703,MUC5AC|PTGS2|TFF2|GDF15|ACSL5,-0.86,MyList
DisGeNET,35,C0085096,Peripheral Vascular Diseases,,-3.2,11,5.9,30284,150,76,4,5.3,2.6,1543|7412|11093|54658,CYP1A1|VCAM1|ADAMTS13|UGT1A1,-0.86,MyList
DisGeNET,35,C0029182,orbit (eye disorders),,-3.2,19,7.1,30284,64,76,3,3.9,2.2,8856|8878|9518,NR1I2|SQSTM1|GDF15,-0.86,MyList
COVID,200,COVID208,Proteome_Li_Urine-recovery-vs-healthy_Up,,-3.2,10,5.9,30284,152,76,4,5.3,2.6,290|7032|7412|9518,ANPEP|TFF2|VCAM1|GDF15,-0.85,MyList
DisGeNET,35,C4279912,Chemically-Induced Liver Toxicity,,-3.2,5.8,4.9,30284,412,76,6,7.9,3.1,4938|5465|5743|8856|9615|84913,OAS1|PPARA|PTGS2|NR1I2|GDA|ATOH8,-0.85,MyList
DisGeNET,35,C0019193,"Hepatitis, Toxic",,-3.2,5.8,4.9,30284,412,76,6,7.9,3.1,4938|5465|5743|8856|9615|84913,OAS1|PPARA|PTGS2|NR1I2|GDA|ATOH8,-0.85,MyList
DisGeNET,35,C0376154,Skin callus,,-3.2,10,5.9,30284,153,76,4,5.3,2.6,1591|5743|8878|54658,CYP24A1|PTGS2|SQSTM1|UGT1A1,-0.85,MyList
DisGeNET,35,C3658290,Drug-Induced Acute Liver Injury,,-3.2,5.8,4.9,30284,413,76,6,7.9,3.1,4938|5465|5743|8856|9615|84913,OAS1|PPARA|PTGS2|NR1I2|GDA|ATOH8,-0.85,MyList
DisGeNET,35,C0151744,Myocardial Ischemia,,-3.2,4.2,4.5,30284,756,76,8,11,3.5,290|3484|5465|5743|7412|9518|11093|54658,ANPEP|IGFBP1|PPARA|PTGS2|VCAM1|GDF15|ADAMTS13|UGT1A1,-0.85,MyList
DisGeNET,35,C0008626,Congenital chromosomal disease,,-3.2,4.2,4.5,30284,756,76,8,11,3.5,290|1543|1545|5743|6654|7433|8856|54658,ANPEP|CYP1A1|CYP1B1|PTGS2|SOS1|VIPR1|NR1I2|UGT1A1,-0.85,MyList
COVID,200,COVID189,RNA_Stukalov_A549-ACE2_18h_Up,,-3.2,18,7,30284,66,76,3,3.9,2.2,2069|8605|25976,EREG|PLA2G4C|TIPARP,-0.85,MyList
DisGeNET,35,C0006625,Cachexia,,-3.2,7.3,5.2,30284,273,76,5,6.6,2.8,290|5465|5743|8878|9518,ANPEP|PPARA|PTGS2|SQSTM1|GDF15,-0.84,MyList
DisGeNET,35,C1262760,"Hepatitis, Drug-Induced",,-3.2,5.7,4.9,30284,418,76,6,7.9,3.1,4938|5465|5743|8856|9615|84913,OAS1|PPARA|PTGS2|NR1I2|GDA|ATOH8,-0.84,MyList
DisGeNET,35,C3854173,Pre-renal acute kidney injury,,-3.2,18,6.9,30284,67,76,3,3.9,2.2,5465|8856|11093,PPARA|NR1I2|ADAMTS13,-0.84,MyList
Transcription Factor Targets,16,M1608,NFE2 01,,-3.2,7.2,5.2,30284,275,76,5,6.6,2.8,1917|8878|23764|93611|259173,EEF1A2|SQSTM1|MAFF|FBXO44|ALS2CL,-0.84,MyList
DisGeNET,35,C0947622,Cholecystolithiasis,,-3.2,10,5.8,30284,156,76,4,5.3,2.6,4586|5743|7433|54658,MUC5AC|PTGS2|VIPR1|UGT1A1,-0.84,MyList
DisGeNET,35,C0013238,Dry Eye Syndromes,,-3.2,10,5.8,30284,156,76,4,5.3,2.6,4586|5465|5743|8878,MUC5AC|PPARA|PTGS2|SQSTM1,-0.84,MyList
Cell Type Signatures,7,M39209,HAY BONE MARROW STROMAL,,-3.2,4.2,4.5,30284,765,76,8,11,3.5,1545|3910|6581|7412|25987|64838|80274|342035,CYP1B1|LAMA4|SLC22A3|VCAM1|TSKU|FNDC4|SCUBE1|GLDN,-0.84,MyList
Cell Type Signatures,7,M40167,DESCARTES FETAL CEREBRUM VASCULAR ENDOTHELIAL CELLS,,-3.2,4.8,4.6,30284,585,76,7,9.2,3.3,218|290|1953|3484|8140|10723|120224,ALDH3A1|ANPEP|MEGF6|IGFBP1|SLC7A5|SLC12A7|TMEM45B,-0.84,MyList
DisGeNET,35,C0156149,Gastrointestinal tract vascular insufficiency,,-3.2,18,6.9,30284,68,76,3,3.9,2.2,5743|8856|8878,PTGS2|NR1I2|SQSTM1,-0.84,MyList
DisGeNET,35,C2004435,Vascular insufficiency of intestine,,-3.2,18,6.9,30284,68,76,3,3.9,2.2,5743|8856|8878,PTGS2|NR1I2|SQSTM1,-0.84,MyList
DisGeNET,35,C1848296,DOSAGE-SENSITIVE SEX REVERSAL,,-3.2,10,5.7,30284,159,76,4,5.3,2.6,5743|6520|8140|8856,PTGS2|SLC3A2|SLC7A5|NR1I2,-0.83,MyList
PaGenBase,36,PGB:00058,Cell-specific: HEPG2,,-3.1,5.6,4.8,30284,426,76,6,7.9,3.1,1543|1591|3484|4938|7032|8856,CYP1A1|CYP24A1|IGFBP1|OAS1|TFF2|NR1I2,-0.82,MyList
DisGeNET,35,C0374997,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site,,-3.1,4.7,4.6,30284,592,76,7,9.2,3.3,360|3484|4586|5743|7032|8856|8878,AQP3|IGFBP1|MUC5AC|PTGS2|TFF2|NR1I2|SQSTM1,-0.82,MyList
DisGeNET,35,C3203102,Idiopathic pulmonary arterial hypertension,,-3.1,4.1,4.4,30284,775,76,8,11,3.5,290|1543|1545|5743|7412|9518|11093|84913,ANPEP|CYP1A1|CYP1B1|PTGS2|VCAM1|GDF15|ADAMTS13|ATOH8,-0.82,MyList
DisGeNET,35,C0038354,Stomach Diseases,,-3.1,17,6.8,30284,70,76,3,3.9,2.2,360|4586|5743,AQP3|MUC5AC|PTGS2,-0.82,MyList
DisGeNET,35,C0008497,Choriocarcinoma,,-3.1,5.5,4.8,30284,431,76,6,7.9,3.1,1545|6520|6581|8140|8878|9962,CYP1B1|SLC3A2|SLC22A3|SLC7A5|SQSTM1|SLC23A2,-0.81,MyList
DisGeNET,35,C0027059,Myocarditis,,-3.1,7,5.1,30284,285,76,5,6.6,2.8,5465|5743|6581|6654|8856,PPARA|PTGS2|SLC22A3|SOS1|NR1I2,-0.81,MyList
DisGeNET,35,C0235653,Malignant neoplasm of female breast,,-3.1,17,6.7,30284,71,76,3,3.9,2.2,1543|1545|8856,CYP1A1|CYP1B1|NR1I2,-0.81,MyList
DisGeNET,35,C0162351,Contact hypersensitivity,,-3.1,17,6.7,30284,71,76,3,3.9,2.2,1543|1545|54658,CYP1A1|CYP1B1|UGT1A1,-0.81,MyList
DisGeNET,35,C0007104,Female Breast Carcinoma,,-3.1,17,6.7,30284,71,76,3,3.9,2.2,1543|1545|8856,CYP1A1|CYP1B1|NR1I2,-0.81,MyList
DisGeNET,35,C0035222,"Respiratory Distress Syndrome, Adult",,-3.1,5.5,4.7,30284,434,76,6,7.9,3.1,1543|1545|4586|5465|5743|54658,CYP1A1|CYP1B1|MUC5AC|PPARA|PTGS2|UGT1A1,-0.8,MyList
DisGeNET,35,C3887461,Head and Neck Carcinoma,,-3.1,4.1,4.4,30284,786,76,8,11,3.5,1543|1545|5743|7053|8140|9518|9962|54658,CYP1A1|CYP1B1|PTGS2|TGM3|SLC7A5|GDF15|SLC23A2|UGT1A1,-0.8,MyList
DisGeNET,35,C0001339,Acute pancreatitis,,-3.1,5.5,4.7,30284,435,76,6,7.9,3.1,1591|5743|7412|8878|9518|11093,CYP24A1|PTGS2|VCAM1|SQSTM1|GDF15|ADAMTS13,-0.8,MyList
DisGeNET,35,C0032914,Pre-Eclampsia,,-3.1,9.6,5.6,30284,166,76,4,5.3,2.6,3484|6654|7412|11093,IGFBP1|SOS1|VCAM1|ADAMTS13,-0.79,MyList
DisGeNET,35,C0032617,Polyuria,,-3.1,16,6.6,30284,73,76,3,3.9,2.2,360|1591|5465,AQP3|CYP24A1|PPARA,-0.79,MyList
DisGeNET,35,C0023530,Leukopenia,,-3.1,5.4,4.7,30284,439,76,6,7.9,3.1,1543|1545|5743|8140|8856|54658,CYP1A1|CYP1B1|PTGS2|SLC7A5|NR1I2|UGT1A1,-0.79,MyList
DisGeNET,35,C0393593,Dystonia Disorders,,-3.1,9.5,5.6,30284,167,76,4,5.3,2.6,290|1917|8878|79152,ANPEP|EEF1A2|SQSTM1|FA2H,-0.79,MyList
DisGeNET,35,C0151546,Oral Cavity Carcinoma,,-3.1,9.5,5.6,30284,167,76,4,5.3,2.6,1543|5743|8878|9518,CYP1A1|PTGS2|SQSTM1|GDF15,-0.79,MyList
Cell Type Signatures,7,M39050,MANNO MIDBRAIN NEUROTYPES HPERIC,,-3.1,4,4.3,30284,795,76,8,11,3.5,290|3032|3910|5743|8605|9518|10723|23764,ANPEP|HADHB|LAMA4|PTGS2|PLA2G4C|GDF15|SLC12A7|MAFF,-0.79,MyList
DisGeNET,35,C0206682,Follicular thyroid carcinoma,,-3.1,6.8,5,30284,293,76,5,6.6,2.8,290|1591|5743|8878|9518,ANPEP|CYP24A1|PTGS2|SQSTM1|GDF15,-0.79,MyList
DisGeNET,35,C1565489,Renal Insufficiency,,-3,4.5,4.4,30284,615,76,7,9.2,3.3,290|1591|3484|5465|5743|9518|11093,ANPEP|CYP24A1|IGFBP1|PPARA|PTGS2|GDF15|ADAMTS13,-0.77,MyList
Cell Type Signatures,7,M39129,AIZARANI LIVER C30 HEPATOCYTES 4,,-3,5.4,4.7,30284,446,76,6,7.9,3.1,3484|5465|8856|9962|57186|132158,IGFBP1|PPARA|NR1I2|SLC23A2|RALGAPA2|GLYCTK,-0.77,MyList
DisGeNET,35,C0027962,Melanocytic nevus,,-3,6.7,5,30284,296,76,5,6.6,2.8,360|1591|5743|6654|8878,AQP3|CYP24A1|PTGS2|SOS1|SQSTM1,-0.77,MyList
COVID,200,COVID237,Proteome_Klann_Caco-2_24h_Up,,-3,16,6.4,30284,76,76,3,3.9,2.2,4938|9518|23764,OAS1|GDF15|MAFF,-0.76,MyList
COVID,200,COVID243,RNA_Riva_Vero-E6_24h_Up,,-3,6.6,4.9,30284,300,76,5,6.6,2.8,8605|8878|9962|23764|25976,PLA2G4C|SQSTM1|SLC23A2|MAFF|TIPARP,-0.75,MyList
DisGeNET,35,C0011195,Dejerine-Sottas Disease (disorder),,-3,9.1,5.4,30284,176,76,4,5.3,2.6,5743|6520|8140|8856,PTGS2|SLC3A2|SLC7A5|NR1I2,-0.73,MyList
PaGenBase,36,PGB:00029,Tissue-specific: placenta,,-3,6.5,4.9,30284,305,76,5,6.6,2.8,3484|6654|9518|23764|342035,IGFBP1|SOS1|GDF15|MAFF|GLDN,-0.73,MyList
DisGeNET,35,C4048329,Immunosuppression,,-3,4.4,4.3,30284,632,76,7,9.2,3.3,2838|5465|5743|7412|7433|8856|11093,GPR15|PPARA|PTGS2|VCAM1|VIPR1|NR1I2|ADAMTS13,-0.72,MyList
DisGeNET,35,C4277682,Chemical and Drug Induced Liver Injury,,-3,5.2,4.5,30284,461,76,6,7.9,3.1,4938|5465|5743|8856|9615|84913,OAS1|PPARA|PTGS2|NR1I2|GDA|ATOH8,-0.71,MyList
DisGeNET,35,C0021368,Inflammation,,-2.9,5.1,4.5,30284,467,76,6,7.9,3.1,360|1543|5465|5743|7412|80274,AQP3|CYP1A1|PPARA|PTGS2|VCAM1|SCUBE1,-0.69,MyList
DisGeNET,35,C3495798,Periodontal inflammation,,-2.9,15,6.2,30284,82,76,3,3.9,2.2,360|7412|8856,AQP3|VCAM1|NR1I2,-0.68,MyList
DisGeNET,35,C0341106,Eosinophilic esophagitis,,-2.9,8.7,5.2,30284,183,76,4,5.3,2.6,5743|6550|7412|8856,PTGS2|SLC9A3|VCAM1|NR1I2,-0.68,MyList
DisGeNET,35,C0345905,Intrahepatic Cholangiocarcinoma,,-2.9,5.1,4.5,30284,470,76,6,7.9,3.1,1917|4586|5465|5743|8140|8856,EEF1A2|MUC5AC|PPARA|PTGS2|SLC7A5|NR1I2,-0.68,MyList
DisGeNET,35,C0032927,Precancerous Conditions,,-2.9,5.1,4.5,30284,471,76,6,7.9,3.1,1545|3484|4586|5743|6581|7032,CYP1B1|IGFBP1|MUC5AC|PTGS2|SLC22A3|TFF2,-0.68,MyList
DisGeNET,35,C0031106,Aggressive Periodontitis,,-2.9,8.7,5.2,30284,184,76,4,5.3,2.6,1543|4586|5743|7412,CYP1A1|MUC5AC|PTGS2|VCAM1,-0.68,MyList
DisGeNET,35,C0016382,Flushing,,-2.9,14,6.1,30284,83,76,3,3.9,2.2,4938|5743|8605,OAS1|PTGS2|PLA2G4C,-0.68,MyList
TRRUST,34,TRR00280,Regulated by: ETS1,,-2.9,14,6.1,30284,84,76,3,3.9,2.2,290|3484|8878,ANPEP|IGFBP1|SQSTM1,-0.67,MyList
DisGeNET,35,C0205699,Carcinomatosis,,-2.9,8.6,5.2,30284,186,76,4,5.3,2.6,4586|5465|5743|9615,MUC5AC|PPARA|PTGS2|GDA,-0.67,MyList
DisGeNET,35,C0008312,Primary biliary cirrhosis,,-2.9,5,4.4,30284,478,76,6,7.9,3.1,3484|5465|5743|7412|8856|8878,IGFBP1|PPARA|PTGS2|VCAM1|NR1I2|SQSTM1,-0.66,MyList
Cell Type Signatures,7,M41651,TRAVAGLINI LUNG BASAL CELL,,-2.9,8.5,5.2,30284,188,76,4,5.3,2.6,218|360|1591|6520,ALDH3A1|AQP3|CYP24A1|SLC3A2,-0.66,MyList
DisGeNET,35,C1527336,Sjogren's Syndrome,,-2.9,5,4.4,30284,480,76,6,7.9,3.1,360|1543|4586|4938|5465|7412,AQP3|CYP1A1|MUC5AC|OAS1|PPARA|VCAM1,-0.65,MyList
COVID,200,COVID202,RNA_Vanderheiden_pHAE_48h_Down,,-2.9,8.4,5.1,30284,189,76,4,5.3,2.6,218|360|3910|84913,ALDH3A1|AQP3|LAMA4|ATOH8,-0.65,MyList
DisGeNET,35,C1654637,androgen independent prostate cancer,,-2.9,8.4,5.1,30284,190,76,4,5.3,2.6,2069|5743|6581|8856,EREG|PTGS2|SLC22A3|NR1I2,-0.64,MyList
DisGeNET,35,C0027430,Nasal Polyps,,-2.9,4.9,4.4,30284,484,76,6,7.9,3.1,2069|4586|5743|6550|7412|8856,EREG|MUC5AC|PTGS2|SLC9A3|VCAM1|NR1I2,-0.64,MyList
DisGeNET,35,C0024031,Low Back Pain,,-2.8,14,5.9,30284,88,76,3,3.9,2.2,5743|9518|25987,PTGS2|GDF15|TSKU,-0.63,MyList
DisGeNET,35,C1383860,Cardiac Hypertrophy,,-2.8,14,5.9,30284,88,76,3,3.9,2.2,1543|1545|5465,CYP1A1|CYP1B1|PPARA,-0.63,MyList
Transcription Factor Targets,16,M30111,PAX8 TARGET GENES,,-2.8,14,5.9,30284,88,76,3,3.9,2.2,1953|8856|23764,MEGF6|NR1I2|MAFF,-0.63,MyList
DisGeNET,35,C0020443,Hypercholesterolemia,,-2.8,4.9,4.3,30284,489,76,6,7.9,3.1,5465|7412|8856|8878|9518|54658,PPARA|VCAM1|NR1I2|SQSTM1|GDF15|UGT1A1,-0.63,MyList
DisGeNET,35,C4509226,Heart failure with preserved ejection fraction [HFpEF],,-2.8,13,5.9,30284,89,76,3,3.9,2.2,3484|8856|9518,IGFBP1|NR1I2|GDF15,-0.62,MyList
TRRUST,34,TRR01158,Regulated by: RELA,,-2.8,6,4.6,30284,334,76,5,6.6,2.8,1543|4586|5465|5743|7412,CYP1A1|MUC5AC|PPARA|PTGS2|VCAM1,-0.6,MyList
DisGeNET,35,C0026010,Microphthalmos,,-2.8,5.9,4.6,30284,336,76,5,6.6,2.8,290|1545|7477|64840|93145,ANPEP|CYP1B1|WNT7B|PORCN|OLFM2,-0.6,MyList
PaGenBase,36,PGB:00014,Tissue-specific: lung,,-2.8,4.8,4.3,30284,498,76,6,7.9,3.1,218|1543|5743|6654|7433|8856,ALDH3A1|CYP1A1|PTGS2|SOS1|VIPR1|NR1I2,-0.6,MyList
DisGeNET,35,C1328504,Hormone refractory prostate cancer,,-2.8,4.1,4.1,30284,683,76,7,9.2,3.3,1545|3032|5743|6654|7477|8856|9518,CYP1B1|HADHB|PTGS2|SOS1|WNT7B|NR1I2|GDF15,-0.58,MyList
TRRUST,34,TRR00875,Regulated by: NFKB1,,-2.8,5.9,4.5,30284,340,76,5,6.6,2.8,1543|4586|5743|7412|8878,CYP1A1|MUC5AC|PTGS2|VCAM1|SQSTM1,-0.58,MyList
DisGeNET,35,C0242488,Acute Lung Injury,,-2.8,13,5.7,30284,93,76,3,3.9,2.2,1543|5743|7032,CYP1A1|PTGS2|TFF2,-0.58,MyList
DisGeNET,35,C0007112,Adenocarcinoma of prostate,,-2.8,5.8,4.5,30284,342,76,5,6.6,2.8,3032|5465|5743|8878|9518,HADHB|PPARA|PTGS2|SQSTM1|GDF15,-0.57,MyList
DisGeNET,35,C0234985,Mental deterioration,,-2.8,4.7,4.2,30284,508,76,6,7.9,3.1,1917|5465|5743|8878|9518|79152,EEF1A2|PPARA|PTGS2|SQSTM1|GDF15|FA2H,-0.56,MyList
COVID,200,COVID046,RNA_Wyler_Caco-2_24h_Up,,-2.7,13,5.7,30284,95,76,3,3.9,2.2,1543|8605|25976,CYP1A1|PLA2G4C|TIPARP,-0.56,MyList
DisGeNET,35,C0149516,Chronic sinusitis,,-2.7,7.8,4.9,30284,205,76,4,5.3,2.6,2069|4586|5743|8856,EREG|MUC5AC|PTGS2|NR1I2,-0.56,MyList
DisGeNET,35,C0040420,Tonometry,,-2.7,7.7,4.9,30284,206,76,4,5.3,2.6,218|290|4862|57491,ALDH3A1|ANPEP|NPAS2|AHRR,-0.55,MyList
DisGeNET,35,C1510885,Angiogenic Switch,,-2.7,12,5.6,30284,96,76,3,3.9,2.2,5743|7477|8856,PTGS2|WNT7B|NR1I2,-0.55,MyList
Cell Type Signatures,7,M39302,CUI DEVELOPING HEART C5 VALVAR CELL,,-2.7,7.7,4.8,30284,208,76,4,5.3,2.6,1545|5743|6581|23764,CYP1B1|PTGS2|SLC22A3|MAFF,-0.54,MyList
Cell Type Signatures,7,M39139,GAO ESOPHAGUS 25W C4 FGFR1HIGH EPITHELIAL CELLS,,-2.7,7.7,4.8,30284,208,76,4,5.3,2.6,1545|7412|11015|93611,CYP1B1|VCAM1|KDELR3|FBXO44,-0.54,MyList
DisGeNET,35,C0014072,Experimental Autoimmune Encephalomyelitis,,-2.7,12,5.6,30284,97,76,3,3.9,2.2,5465|5743|7412,PPARA|PTGS2|VCAM1,-0.54,MyList
DisGeNET,35,C0040053,Thrombosis,,-2.7,12,5.6,30284,98,76,3,3.9,2.2,5743|11093|80274,PTGS2|ADAMTS13|SCUBE1,-0.53,MyList
DisGeNET,35,C4082937,Necrotizing enterocolitis in fetus OR newborn,,-2.7,7.6,4.8,30284,210,76,4,5.3,2.6,5743|7032|7477|8856,PTGS2|TFF2|WNT7B|NR1I2,-0.53,MyList
DisGeNET,35,C0730328,Central Serous Chorioretinopathy,,-2.7,7.6,4.8,30284,211,76,4,5.3,2.6,5743|6520|6581|8140,PTGS2|SLC3A2|SLC22A3|SLC7A5,-0.53,MyList
DisGeNET,35,C0339143,Thyroid associated opthalmopathies,,-2.7,7.6,4.8,30284,211,76,4,5.3,2.6,1543|5465|5743|7412,CYP1A1|PPARA|PTGS2|VCAM1,-0.53,MyList
DisGeNET,35,C0085278,Antiphospholipid Syndrome,,-2.7,12,5.5,30284,99,76,3,3.9,2.2,3484|8856|11093,IGFBP1|NR1I2|ADAMTS13,-0.53,MyList
DisGeNET,35,C0949059,Polyp of large intestine,,-2.7,12,5.5,30284,99,76,3,3.9,2.2,1543|4586|5743,CYP1A1|MUC5AC|PTGS2,-0.53,MyList
DisGeNET,35,C1153706,Endometrial adenocarcinoma,,-2.7,7.5,4.8,30284,212,76,4,5.3,2.6,3484|4586|5743|8140,IGFBP1|MUC5AC|PTGS2|SLC7A5,-0.53,MyList
TRRUST,34,TRR00253,Regulated by: EGR1,,-2.7,12,5.5,30284,100,76,3,3.9,2.2,5743|6550|9518,PTGS2|SLC9A3|GDF15,-0.52,MyList
DisGeNET,35,C0155862,Streptococcal pneumonia,,-2.7,12,5.5,30284,100,76,3,3.9,2.2,5743|7032|8856,PTGS2|TFF2|NR1I2,-0.52,MyList
DisGeNET,35,C0035309,Retinal Diseases,,-2.7,3.9,3.9,30284,713,76,7,9.2,3.3,290|1545|3484|5465|5743|7412|8856,ANPEP|CYP1B1|IGFBP1|PPARA|PTGS2|VCAM1|NR1I2,-0.52,MyList
DisGeNET,35,C0041956,Ureteral obstruction,,-2.7,5.5,4.3,30284,359,76,5,6.6,2.8,5743|6550|7412|8856|8878,PTGS2|SLC9A3|VCAM1|NR1I2|SQSTM1,-0.52,MyList
DisGeNET,35,C0011311,Dengue Fever,,-2.7,5.5,4.3,30284,360,76,5,6.6,2.8,4938|5743|7412|8878|11093,OAS1|PTGS2|VCAM1|SQSTM1|ADAMTS13,-0.51,MyList
DisGeNET,35,C0598935,Tumor Initiation,,-2.7,4.5,4.1,30284,533,76,6,7.9,3.1,1543|1545|5465|5743|8856|8878,CYP1A1|CYP1B1|PPARA|PTGS2|NR1I2|SQSTM1,-0.5,MyList
PaGenBase,36,PGB:00011,Tissue-specific: Smooth Muscle,,-2.6,12,5.4,30284,103,76,3,3.9,2.2,5743|6654|11015,PTGS2|SOS1|KDELR3,-0.5,MyList
DisGeNET,35,C1368404,Hypopharyngeal Carcinoma,,-2.6,12,5.4,30284,103,76,3,3.9,2.2,1543|5743|8878,CYP1A1|PTGS2|SQSTM1,-0.5,MyList
DisGeNET,35,C3665593,Melanocytic nevus of skin,,-2.6,12,5.4,30284,103,76,3,3.9,2.2,360|1591|5743,AQP3|CYP24A1|PTGS2,-0.5,MyList
DisGeNET,35,C3544205,Ovarian clear cell carcinoma,,-2.6,12,5.4,30284,103,76,3,3.9,2.2,5743|8140|54658,PTGS2|SLC7A5|UGT1A1,-0.5,MyList
Cell Type Signatures,7,M39018,FAN EMBRYONIC CTX BIG GROUPS BRAIN ENDOTHELIAL,,-2.6,5.5,4.3,30284,365,76,5,6.6,2.8,290|3910|6520|8140|10723,ANPEP|LAMA4|SLC3A2|SLC7A5|SLC12A7,-0.5,MyList
Cell Type Signatures,7,M39111,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-2.6,7.3,4.7,30284,219,76,4,5.3,2.6,290|9518|10723|23764,ANPEP|GDF15|SLC12A7|MAFF,-0.5,MyList
