Name	DESCRIPTION	Control	15c	15c	Control	15an	15a	15an	15a
ETFDH		159	617	141	225	965	255	444	255
ENSG00000271817		0	0	0	0	4	0	12	0
PPID		109	342	128	183	684	390	290	341
FNIP2		231	658	108	304	676	466	304	382
RNU6-128P		0	2	0	0	0	0	0	0
SPMIP2		0	0	0	0	0	0	0	0
PSME2P3		0	0	0	0	0	0	0	0
RAPGEF2		303	634	182	326	1104	435	488	402
ENSG00000266377		0	0	0	0	0	0	0	2
ENSG00000249568		0	0	0	24	0	0	0	0
FSTL5		78	180	14	120	231	218	43	32
ENSG00000274761		0	14	0	0	0	0	0	0
ENSG00000250027		0	6	0	0	0	0	63	14
NAF1		257	357	189	227	518	379	393	184
TMA16		145	350	201	300	554	318	343	318
ENSG00000264535		0	0	4	0	0	0	0	0
MARCHF1		29	44	0	78	67	31	53	0
ENSG00000273449		0	28	0	22	0	3	4	14
YWHAQP4		0	0	0	0	0	0	0	0
ENSG00000250746		0	4	0	0	1	4	12	0
ANP32CP		18	0	0	9	25	0	0	6
CHORDC1P3		0	0	0	0	1	0	0	0
SMIM31		0	0	0	0	0	0	2	0
NACA3P		11	3	0	0	0	0	0	2
TRIM61		0	0	0	0	0	0	0	0
FAM218A		8	0	0	6	4	2	0	2
ENSG00000248632		0	0	0	0	0	0	0	0
RPL21P51		0	0	0	1	2	0	0	0
ENSG00000249617		2	8	0	4	34	2	6	0
TRIM75		0	0	14	0	0	0	0	0
TMEM192		223	767	141	369	1155	675	520	269
KLHL2		94	108	78	118	298	188	104	108
GK3		0	11	0	0	10	0	0	4
MSMO1		525	1401	184	1090	1922	1095	921	952
CPE		0	0	0	0	0	2	0	0
HADHAP1		4	0	0	2	0	0	0	6
ENSG00000250725		0	0	0	0	0	0	0	0
LINC01179		0	0	0	0	0	0	0	0
TLL1		0	0	0	0	0	0	0	0
ANXA10		348	337	76	195	705	395	231	174
DDX60		72	422	91	186	561	241	240	230
DDX60L		192	613	104	181	668	331	395	288
ENSG00000207171		0	0	4	0	0	0	0	0
PALLD		666	1013	290	754	1689	1288	721	661
PALLD-AS1		0	0	0	0	0	0	0	0
RNU6-1336P		0	0	0	0	0	0	0	0
RPL9P16		0	0	0	0	0	0	0	0
ENSG00000249609		0	63	8	0	33	28	32	6
ENSG00000279384		0	0	0	0	14	0	8	0
CBR4		141	141	31	92	299	180	74	137
RNU6-853P		0	3	0	7	0	0	0	10
SH3RF1		427	1393	355	561	1790	852	754	673
RPL6P12		0	0	0	0	6	8	0	0
ENSG00000251171		0	2	0	0	34	32	20	26
NEK1		63	126	10	65	232	139	205	69
CLCN3		526	1013	254	581	1365	667	869	386
HPF1		43	116	16	38	142	69	60	29
ENSG00000248625		0	0	0	0	0	0	10	0
ENSG00000249955		0	0	0	0	0	8	0	0
MFAP3L		16	146	12	12	119	28	110	12
AADAT		0	74	33	36	154	61	18	43
HSP90AA6P		4	0	0	0	5	3	0	0
LINC02504		0	0	0	0	0	0	0	0
GALNTL6		0	0	0	0	0	0	0	0
ENSG00000274774		0	0	0	0	0	0	0	0
GALNT7-DT		45	70	18	74	86	88	41	80
RN7SL253P		0	0	0	0	6	0	0	0
GALNT7		206	244	92	162	545	287	297	99
ENSG00000248774		0	0	0	8	0	0	2	0
HMGB2		1015	888	293	1631	1596	1306	572	707
SAP30-DT		16	16	28	20	14	19	0	0
SAP30		210	322	51	323	421	261	198	273
SCRG1		28	20	4	35	54	46	45	68
RPL5P11		0	6	0	0	0	0	0	0
RNU6-1096P		0	0	0	0	0	0	2	0
ENSG00000261646		0	0	0	0	10	0	0	0
HAND2		0	0	0	0	0	0	0	0
MORF4		0	0	1	8	0	0	2	0
RANP6		0	0	0	0	0	0	2	0
ENSG00000250043		0	0	0	0	2	0	0	0
FBXO8		58	209	59	68	170	50	106	169
CEP44		209	368	56	201	571	271	215	86
HPGD		429	1143	116	564	1137	750	679	588
ENSG00000250596		0	28	0	14	6	2	0	0
ENSG00000251584		0	0	11	0	0	0	0	0
GLRA3		0	0	0	0	0	0	0	0
ADAM29		0	1	0	0	0	0	0	0
GPM6A		0	0	0	1	0	0	0	0
WDR17		0	0	0	0	0	0	0	0
SPATA4		0	0	0	0	0	0	0	0
SPCS3		379	757	231	642	1533	1056	450	424
HAFML		0	0	0	0	0	0	0	0
VEGFC		0	0	0	0	0	0	0	0
NEIL3		0	0	0	0	0	0	0	0
ENSG00000249084		0	0	0	0	0	0	0	0
AGA		12	56	0	56	166	30	83	26
AGA-DT		0	0	4	0	2	0	16	0
LINC01098		0	0	0	0	8	0	0	0
LINC01099		0	0	0	0	0	0	0	0
RNA5SP173		0	0	0	0	0	0	0	22
TENM3-AS1		0	0	0	0	0	0	0	0
TENM3		0	0	0	0	0	0	0	0
ENSG00000248266		1	0	0	0	0	0	0	0
ENSG00000248816		0	0	0	0	0	0	0	0
ENSG00000272646		0	0	0	0	0	0	2	4
DCTD		307	722	204	620	1694	874	442	466
WWC2-AS2		28	59	2	44	16	33	38	26
WWC2		460	1070	264	473	1473	732	742	654
ENSG00000252702		0	0	10	0	0	4	0	3
WWC2-AS1		0	0	2	0	0	14	0	6
CLDN24		0	0	0	0	0	0	0	10
ENSG00000250292		0	0	0	0	12	0	0	0
CDKN2AIP		52	191	31	102	540	279	205	76
VTI1BP2		0	14	0	0	0	4	0	0
ING2-DT		23	18	0	1	22	15	19	37
ING2		71	152	7	71	227	131	143	80
RWDD4		66	82	28	52	164	130	36	19
TRAPPC11		200	322	74	237	532	319	354	121
RNU6-335P		0	0	0	0	7	0	0	0
RNU6-1053P		0	0	0	19	0	0	0	0
STOX2		2	12	0	0	40	0	0	14
LINC02362		0	8	0	13	6	0	0	0
IRF2		79	216	40	161	328	224	151	136
ENSG00000270426		2	0	10	0	8	0	8	0
IRF2-DT		12	21	6	7	21	12	11	6
LINC02427		0	26	0	0	0	0	0	0
CASP3		115	303	66	141	537	230	204	132
PRIMPOL		0	56	25	19	94	28	12	52
CENPU		137	49	93	153	176	155	132	150
ACSL1		410	1244	287	536	1533	1019	566	610
ENSG00000249138		8	34	0	0	0	0	0	12
SLC25A4		180	388	93	266	597	240	215	288
CFAP97		252	431	120	381	636	392	385	248
SNX25		120	357	29	221	415	206	166	167
LRP2BP		12	19	8	44	26	14	6	24
LRP2BP-AS1		0	0	0	0	0	0	0	12
ANKRD37		0	6	0	28	41	24	6	20
UFSP2		26	24	4	78	101	121	72	8
ENSG00000207231		0	0	0	0	0	8	0	0
CFAP96		0	0	0	10	0	0	0	0
ENSG00000249679		4	0	0	13	0	13	17	8
PDLIM3		326	693	146	413	847	662	362	321
SORBS2		0	0	0	0	0	0	0	0
SORBS2-AS1		0	0	0	8	0	0	0	0
ENSG00000235902		0	0	0	0	0	0	0	0
TLR3		0	0	12	4	2	0	0	0
FAM149A		0	0	0	0	0	0	0	0
RPSAP70		0	0	0	0	0	0	0	0
ENSG00000279943		0	0	0	0	0	0	0	0
CYP4V2		0	34	2	6	30	22	30	6
MTNR1A		0	0	0	0	0	8	0	2
FAT1		5852	12473	3381	7457	22735	11486	8653	7843
ENSG00000250829		0	0	0	0	0	0	0	0
ENSG00000272218		0	10	0	0	0	0	0	0
MRPS36P2		0	0	0	0	0	0	0	0
LINC02515		0	0	0	0	0	0	0	0
ENSG00000251490		0	0	0	0	16	0	0	0
LINC02492		20	12	28	13	46	44	34	0
ENSG00000249642		0	12	2	13	0	14	0	0
ADAM20P3		0	0	0	2	5	0	0	0
ENSG00000213331		0	0	0	0	0	0	0	0
ZFP42		0	0	0	0	0	0	0	0
TRIML2		8	0	0	26	0	0	0	0
ENSG00000241011		0	0	0	0	0	0	0	0
TRIML1		0	0	0	0	0	0	0	0
LINC02434		0	0	0	0	0	0	0	0
LINC01060		0	0	0	0	0	0	0	0
ENSG00000250523		0	0	0	0	0	0	0	0
ENSG00000275826		0	0	0	0	0	0	0	0
ENSG00000180015		10	15	0	0	16	0	0	6
ENSG00000278974		4	2	0	9	13	0	10	0
LINC02508		0	0	0	0	0	0	0	0
ENSG00000250626		0	0	0	0	0	0	0	0
ENSG00000250024		0	0	0	0	0	0	0	0
FRG1		4	0	2	0	1	11	2	0
RNA5SP174		2	0	2	0	1	0	0	0
RNA5SP175		0	0	0	0	0	2	2	0
AGGF1P1		1	37	1	7	11	8	0	0
PLEKHG4B		0	0	0	0	14	15	4	0
LRRC14B		0	10	0	0	8	0	0	2
ENSG00000261434		0	0	0	0	8	0	0	0
CCDC127		85	358	116	194	476	230	193	208
ENSG00000260774		2	13	0	43	4	14	3	17
SDHA		864	2075	499	1272	3374	1879	1405	1150
ENSG00000277812		11	0	0	0	0	0	0	0
PDCD6-DT		0	4	0	0	0	0	0	0
PDCD6		686	1968	447	985	3548	1568	1318	871
PPP4R2P1		22	52	0	24	42	27	5	0
AHRR		60	343	92	41	561	222	268	60
ENSG00000214278		0	18	0	0	6	5	0	0
ENSG00000250645		0	0	0	0	0	0	0	0
EXOC3-AS1		24	10	25	42	132	10	10	18
EXOC3		219	806	283	425	2007	685	625	589
SLC9A3-OT1		124	559	109	99	605	294	374	182
SLC9A3-AS1		362	3298	630	554	4291	1662	1927	1196
SLC9A3		87	520	163	32	680	361	355	274
CEP72-DT		0	2	0	0	0	0	0	0
CEP72		222	769	200	365	907	692	447	410
TPPP		109	472	189	229	981	347	340	229
ENSG00000271781		2	26	14	22	72	26	32	76
ZDHHC11B		31	47	41	55	37	56	31	33
BRD9P2		4	15	0	22	2	8	0	18
ZDHHC11		28	79	26	73	68	155	47	122
SPCS2P3		10	0	0	0	0	4	0	2
BRD9		358	817	292	441	1177	868	445	546
TRIP13		227	156	122	220	385	219	122	184
NKD2		0	0	0	0	1	0	0	0
SLC12A7		80	1171	147	210	1317	413	809	413
SLC6A18		0	0	0	0	0	0	2	0
TERT		0	16	10	10	36	43	8	20
CLPTM1L		85	266	36	167	342	152	108	139
LPCAT1		93	212	67	306	305	137	113	112
MIR6075		0	0	0	0	42	0	2	0
ENSG00000278350		0	0	0	0	0	0	20	0
SDHAP3		4	34	0	18	33	1	10	32
LINC03067		2	0	0	0	0	0	0	18
PDCD6P1		28	168	81	141	301	87	144	83
PPP4R2P5		0	0	0	6	0	0	0	12
MRPL36		127	293	68	131	380	267	80	159
NDUFS6		334	450	124	477	1054	628	267	263
ENSG00000249541		0	0	0	6	0	0	0	0
ENSG00000260763		0	0	0	8	0	0	0	24
ENSG00000248973		0	1	0	0	0	0	0	0
ENSG00000231291		0	8	0	0	13	8	0	28
ADAMTS16		66	47	42	52	107	54	83	53
ENSG00000250866		0	6	0	0	0	0	0	0
ENSG00000275369		0	16	0	22	0	0	12	8
MTCO1P31		0	0	0	0	0	0	2	0
ICE1		229	595	187	252	766	537	328	387
MED10		92	184	120	336	418	212	262	159
NSUN2		259	621	189	332	813	465	229	323
SRD5A1		98	413	122	172	349	271	183	135
ENSG00000272520		56	56	10	41	143	34	52	18
LINC02102		0	2	0	0	0	0	10	0
TENT4A		143	232	38	190	307	181	228	122
LINC02236		0	0	0	0	6	0	0	0
ENSG00000272071		0	0	0	0	0	0	0	0
RN7SKP79		11	15	1	12	14	16	5	22
LINC02196		0	0	0	0	0	0	0	0
ADCY2		0	0	0	0	0	0	0	0
MTRR		83	138	4	72	372	237	124	108
FASTKD3		4	26	1	18	37	31	28	18
MIR4458HG		33	44	8	36	117	24	17	32
ENSG00000279075		0	0	0	0	0	0	0	5
SEMA5A		0	0	0	0	0	0	0	0
SNHG18		0	0	0	0	0	0	0	0
SNORD123		0	0	0	0	0	0	0	0
ENSG00000249807		0	0	0	1	0	0	0	0
ENSG00000280449		0	0	0	0	0	6	0	0
ENSG00000260515		0	0	0	0	2	4	0	0
ATPSCKMT		35	58	6	18	50	11	19	32
ENSG00000248968		3	8	0	18	0	0	0	2
CCT5		583	1000	312	762	2136	1142	665	625
CMBL		139	458	121	297	887	503	304	350
MARCHF6-DT		0	4	0	2	24	8	0	0
MARCHF6		427	1049	183	474	1541	658	707	380
ROPN1L		2	0	0	0	29	14	0	0
ENSG00000249166		0	17	8	0	0	10	6	0
LINC02212		0	78	0	3	30	0	50	6
ANKRD33B		96	228	58	133	182	136	133	94
ENSG00000251196		0	46	20	8	22	36	62	8
ENSG00000272016		36	111	6	18	97	173	98	90
ENSG00000251548		0	0	0	0	0	0	1	0
ENSG00000279979		0	4	0	0	0	0	0	0
ENSG00000278865		0	0	0	0	0	0	0	0
DAP		396	914	157	408	1107	814	661	560
ENSG00000251112		0	0	0	0	0	0	0	0
ENSG00000249053		0	0	0	0	0	0	0	0
LINC02220		0	0	0	0	0	10	0	0
RPS23P5		0	0	0	0	10	0	0	0
DNAH5		73	246	16	134	306	171	124	132
ENSG00000251423		0	0	0	0	0	0	0	4
TRIO		1135	3242	590	1518	4351	2672	1776	1819
ENSG00000275686		0	0	0	8	2	0	0	0
OTULINL		64	183	65	56	184	152	110	120
ENSG00000248791		14	0	0	0	0	0	0	0
CCT6P2		0	0	0	0	0	0	2	2
EEF1A1P13		52	156	35	50	212	206	55	51
OTULIN-DT		0	6	4	0	0	30	4	16
OTULIN		186	422	99	323	673	332	479	190
ANKH		66	225	87	163	418	236	114	171
RBBP4P1		11	18	0	2	51	11	0	0
ANKH-DT		0	4	0	0	0	0	20	0
FBXL7		0	0	0	0	0	0	0	0
MIR887		0	0	0	0	0	0	0	0
MARCHF11		0	0	0	0	0	0	0	0
MARCHF11-AS1		0	0	0	0	0	0	0	0
ZNF622		107	206	64	174	583	343	193	119
RETREG1		0	0	0	0	0	0	10	0
MYO10		94	193	52	104	447	102	123	76
RPS26P28		0	0	0	0	0	0	2	0
BASP1		0	0	0	0	0	0	0	0
BASP1-AS1		0	0	0	0	0	0	0	0
RNA5SP180		0	0	0	0	0	0	0	0
ENSG00000185296		0	0	0	0	0	0	0	0
RN7SKP133		0	1	0	0	0	0	0	0
FTH1P10		11	54	10	15	55	23	27	40
H3Y2		0	0	0	0	0	0	0	0
H3P22		0	0	0	0	0	0	0	0
RN7SL58P		0	0	0	0	0	0	0	0
LINC02100		0	0	0	0	0	0	0	0
ENSG00000249285		0	0	0	0	0	0	0	0
ENSG00000276764		0	0	0	0	0	0	0	0
ENSG00000249174		0	0	0	0	0	0	0	0
CDH18		0	0	0	0	0	0	0	0
ENSG00000214132		0	0	0	0	2	0	0	0
LINC02241		12	18	0	4	2	8	12	10
ENSG00000248308		0	0	0	12	0	5	0	0
ENSG00000249359		0	0	0	0	0	0	1	0
GUSBP1		29	92	7	87	128	91	32	34
ENSG00000233974		102	231	53	96	208	41	149	168
ENSG00000279107		21	2	11	12	18	2	52	0
ENSG00000272130		0	0	0	0	1	0	0	0
CDH12		0	0	0	0	0	0	0	0
HSPD1P1		14	32	17	30	55	7	61	27
PTPN11P4		3	0	0	0	3	0	0	0
ENSG00000248591		0	0	0	0	0	0	0	0
PRDM9		0	0	0	0	0	0	0	0
AKTIPP2		0	0	0	0	4	0	0	0
CDH10		0	0	0	0	0	0	0	0
LINC02228		4	6	0	0	14	5	0	0
LINC02211		12	30	0	2	4	2	26	4
ENSG00000248605		0	8	0	4	0	0	0	0
MSNP1		35	76	35	33	64	52	38	11
ENSG00000248426		0	0	0	0	0	0	0	0
CDH9		0	0	0	0	0	0	0	0
ENSG00000248490		0	0	0	0	0	0	0	0
PURPL		0	0	0	0	0	0	0	0
ENSG00000250079		0	0	0	0	0	0	0	0
CDH6		107	58	74	166	190	137	99	64
DROSHA		170	359	124	274	467	273	132	206
ENSG00000206682		14	0	0	0	0	0	0	8
C5orf22		91	140	32	158	379	166	131	80
ENSG00000279923		0	22	0	0	0	14	0	4
PDZD2		59	106	12	73	36	50	46	17
RNU6-358P		0	0	1	0	0	0	0	0
TPT1P5		0	0	0	0	0	0	0	0
ENSG00000249774		0	0	0	0	1	0	0	0
ENSG00000250764		24	8	4	16	0	18	0	0
GOLPH3		430	1037	291	637	1458	880	907	716
ENSG00000200065		0	3	0	0	0	0	3	0
GOLPH3-DT		0	0	4	22	43	4	14	2
MTMR12		160	216	176	264	409	268	148	176
RNU6-1079P		0	0	1	0	0	0	0	0
RNU6-378P		0	0	0	0	0	0	4	0
ZFR		558	1008	267	574	1409	833	744	457
MIR579		0	0	0	6	0	0	0	0
TMEM183AP2		0	0	0	0	0	0	0	9
SUB1		391	417	121	448	749	503	250	263
LINC02061		0	0	0	0	0	0	0	0
NPR3		0	0	4	6	21	0	0	0
ENSG00000251062		0	0	1	0	5	0	0	1
ENSG00000250697		0	26	6	0	0	0	0	0
LINC02120		0	0	0	0	0	0	0	0
ENSG00000249102		0	0	0	0	18	0	0	0
ENSG00000251281		0	16	0	0	0	20	0	0
ENSG00000240376		89	159	50	79	305	101	103	82
TARS1		197	756	232	434	1349	782	453	476
TOMM40P3		0	0	0	0	0	0	12	0
ADAMTS12		105	180	34	111	325	181	285	107
SLC45A2		0	0	32	0	0	0	0	0
AMACR		2	69	6	23	89	8	17	34
C1QTNF3-AMACR		0	0	0	0	4	0	0	0
C1QTNF3		0	6	0	2	2	2	8	0
ENSG00000278900		5	0	0	0	0	0	0	0
ENSG00000271771		2	6	2	4	8	6	7	0
GUSBP18		2	20	8	78	12	28	9	26
ENSG00000215156		200	106	20	170	197	152	163	176
ENSG00000275218		0	0	0	0	0	0	0	5
RAI14		363	1810	417	680	1997	1344	1309	990
ENSG00000250234		14	28	6	1	51	30	26	51
TTC23L-AS1		0	0	0	0	0	0	16	0
TTC23L		2	6	0	0	0	0	0	0
RPL21P54		0	0	6	0	0	0	0	0
RAD1		71	147	11	153	182	185	124	104
BRIX1		36	113	6	74	171	112	186	97
DNAJC21		162	378	67	182	347	257	238	110
PRLR		35	22	0	48	20	2	20	22
ENSG00000250886		0	0	0	20	0	0	0	0
SPEF2		12	41	12	6	20	11	26	0
IL7R		18	38	15	21	10	22	8	24
LMBRD2		124	190	37	106	185	289	45	102
SKP2		191	274	52	118	449	276	195	156
NADK2		152	184	18	236	423	251	174	176
NADK2-AS1		6	0	0	0	0	14	6	0
RANBP3L		0	0	0	0	0	0	0	0
SLC1A3		0	0	0	0	0	0	0	0
SLC1A3-AS1		0	0	0	0	0	0	0	0
NIPBL		278	569	124	240	720	525	354	297
KRT18P31		0	26	36	32	28	18	4	36
RPS4XP6		0	0	0	0	0	0	1	0
CPLANE1		118	332	37	107	312	160	193	68
RBISP2		0	0	0	0	0	0	0	0
OFD1P17		0	2	0	0	0	0	0	0
ENSG00000270558		0	0	0	0	0	0	5	0
NUP155		199	233	106	291	553	421	210	232
RNU7-75P		0	0	0	6	0	0	0	0
WDR70		108	181	14	31	258	82	89	34
KCTD9P5		0	0	0	0	5	0	0	0
RNU6-484P		0	0	0	0	0	0	0	0
GDNF		0	0	0	0	0	0	0	0
GDNF-AS1		0	0	0	0	0	0	0	0
EGFLAM		0	0	1	0	6	0	0	0
ENSG00000251257		12	13	4	6	28	0	2	35
LIFR		349	515	63	517	384	368	244	314
LIFR-AS1		0	18	0	0	0	0	0	4
OSMR-DT		2	1	11	12	81	22	40	13
OSMR		343	686	168	406	1037	565	424	326
RICTOR		198	811	91	382	853	708	506	468
FYB1		29	70	0	8	63	32	42	28
C9		0	0	0	0	8	0	0	0
DAB2		254	415	149	517	974	489	363	387
LINC02104		0	0	0	0	0	0	0	0
INTS6P1		26	2	0	0	2	0	4	0
PTGER4		2	17	0	4	0	10	4	0
TTC33		52	100	40	60	159	93	58	32
PRKAA1		318	621	212	376	874	448	284	298
ENSG00000212567		0	0	0	6	0	0	0	0
RPL37		996	1982	520	1085	3483	2023	1543	1072
SNORD72		6	14	18	6	20	12	11	14
CARD6		12	22	12	8	57	70	54	54
C7		0	0	0	0	0	0	0	0
PLCXD3		50	56	20	54	30	40	12	35
OXCT1		0	0	0	0	0	0	0	0
RIMOC1		59	295	59	86	312	253	192	79
FBXO4		2	20	17	28	104	72	64	34
GHR		0	0	0	0	0	0	0	0
SERBP1P6		32	6	0	9	14	15	2	10
CCDC152		0	0	0	0	0	4	0	0
SELENOP		0	0	17	0	5	0	0	0
ENSG00000271788		0	0	0	0	12	0	0	22
ANXA2R-OT1		20	14	16	16	82	26	22	22
ENSG00000251131		0	0	0	0	14	2	0	0
ENSG00000272382		2	4	0	10	16	2	6	18
ANXA2R		2	0	4	0	21	26	10	4
ANXA2R-AS1		14	31	12	10	57	18	34	26
ENSG00000272144		18	2	0	6	0	0	0	0
ZNF131		72	171	37	137	303	169	127	72
NIM1K		2	0	0	0	2	0	0	0
ENSG00000261604		0	0	0	0	0	0	0	0
HMGCS1		152	289	54	206	374	207	230	202
ENSG00000188850		0	0	0	0	0	0	0	0
CCL28		13	43	20	48	67	46	14	12
TMEM267		22	84	30	14	67	51	44	22
ENSG00000249492		0	0	0	8	0	4	27	0
C5orf34		22	2	2	14	20	24	6	22
EEF1A1P19		2	20	0	2	15	23	4	15
C5orf34-AS1		0	3	0	0	4	5	11	2
ENSG00000248240		0	0	0	0	2	0	0	0
PAIP1		357	468	118	320	639	437	384	387
NNT-AS1		74	188	44	86	221	121	66	138
AMD1P3		0	0	0	2	4	0	2	0
NNT		267	512	110	371	983	454	359	266
RPL29P12		0	12	0	6	16	0	0	4
MRPS30-DT		0	0	0	0	0	0	0	0
MRPS30		322	723	60	357	1021	586	498	301
ENSG00000272335		57	85	12	89	88	40	72	52
HCN1		0	0	6	4	0	0	0	0
EMB		0	0	0	0	0	0	0	0
ENSG00000213956		0	0	0	0	0	4	0	0
PARP8		0	10	0	0	18	30	0	2
ITGA1		248	244	68	560	402	260	229	213
PELO		118	418	128	266	573	265	181	188
B3GNTL1P1		0	12	0	0	0	0	0	0
ITGA2-AS1		0	13	0	0	14	12	26	0
ITGA2		318	665	123	541	1274	563	617	554
ENSG00000272123		0	0	0	0	0	0	4	0
MOCS2		49	36	19	74	156	230	106	60
MOCS2-DT		2	0	0	10	12	12	18	0
FST		0	0	0	24	0	0	0	0
NDUFS4		114	191	49	96	179	139	147	97
LINC02105		0	0	0	0	0	12	0	0
ASS1P9		0	0	0	0	0	0	0	0
ARL15		0	14	0	0	54	15	12	0
RN7SL801P		0	0	0	0	2	0	0	0
ENSG00000265421		0	0	0	0	0	7	0	12
HSPB3		0	0	10	0	0	0	0	0
SNX18		286	564	124	356	896	540	450	339
CDC20B		0	0	0	0	0	0	0	0
GPX8		123	203	2	135	137	134	148	89
MCIDAS		0	0	0	0	0	0	0	0
CCNO		6	34	0	12	49	49	22	39
CCNO-DT		0	0	0	0	0	0	0	0
DHX29		97	249	91	90	208	191	142	115
MTREX		158	420	185	267	529	330	158	218
ENSG00000271410		16	0	0	6	30	0	0	0
PLPP1		203	566	106	285	756	360	196	243
ENSG00000279883		0	6	0	2	34	0	0	0
RNF138P1		0	16	0	0	6	1	26	0
SLC38A9		44	70	46	25	138	74	77	77
RNA5SP183		0	0	0	0	0	0	0	0
IL31RA		22	51	0	0	28	0	0	8
IL6ST		707	1386	305	838	2135	1091	1197	766
ENSG00000264281		0	0	0	0	3	1	1	2
IL6ST-DT		4	0	0	0	26	0	4	8
ANKRD55		0	0	6	0	0	0	0	0
RPL17P22		0	0	2	2	0	0	0	0
RNA5SP184		0	0	0	0	4	0	0	0
RNU6ATAC2P		5	1	1	0	2	2	0	2
LINC01948		0	0	0	0	6	0	0	0
RPL26P19		125	231	89	120	458	212	178	186
MAP3K1		164	210	106	233	381	267	154	144
ENSG00000225230		0	0	0	2	0	19	0	8
SETD9		33	7	2	28	43	47	2	46
MIER3		85	45	47	66	216	102	96	25
ENSG00000271828		0	0	0	8	4	12	0	0
GPBP1		192	689	127	249	734	458	362	264
ACTBL2		0	0	0	0	10	0	0	0
LINC02225		0	0	0	0	0	0	0	0
PGAM1P1		0	0	0	0	20	0	0	0
PLK2		698	653	252	782	835	704	407	442
LINC02108		0	22	0	0	0	0	0	0
PDE4D		22	124	30	52	133	68	50	22
ENSG00000247345		0	0	0	2	0	0	0	0
ENSG00000276214		0	0	0	20	0	18	0	0
NDUFB4P2		0	8	0	0	0	0	0	0
PART1		0	0	0	0	0	0	0	0
DEPDC1B		78	80	8	87	126	48	34	88
ELOVL7		0	84	0	6	24	20	2	46
ENSG00000272308		0	38	5	0	16	4	1	0
ERCC8		16	4	3	34	92	28	28	11
GNL3LP1		0	0	0	0	0	0	0	0
ERCC8-AS1		0	0	0	0	0	0	0	0
NDUFAF2		39	127	22	136	256	167	86	114
ENSG00000279985		0	0	0	0	16	0	0	0
SMIM15		143	186	80	108	393	132	162	107
SMIM15-AS1		0	0	0	0	0	8	0	0
LINC02057		0	4	8	0	0	4	0	0
ZSWIM6		151	365	90	217	400	238	223	184
ENSG00000251682		0	17	0	32	48	8	0	0
ENSG00000277348		0	0	0	0	0	0	0	0
ENSG00000250461		8	13	12	22	10	0	22	0
RPL3P6		0	6	0	14	2	26	20	26
KIF2A		157	438	110	295	637	344	206	251
DIMT1		144	349	111	176	635	348	224	134
IPO11		105	353	44	105	351	243	190	111
CKS1BP3		14	13	1	13	1	0	5	4
LRRC70		6	6	0	0	4	15	0	0
ISCA1P1		2	18	16	2	44	7	4	3
RNF180		0	0	0	0	0	0	0	0
RN7SL169P		3	2	0	1	1	1	2	1
SREK1IP1		65	153	45	114	347	218	134	97
CWC27		111	57	18	184	250	143	138	80
ENSG00000272370		0	0	0	0	0	0	0	4
ADAMTS6		0	0	0	2	0	4	0	0
ENSG00000248288		0	10	0	0	0	0	0	0
RPEP1		0	0	0	0	0	0	0	0
ENSG00000205644		0	0	0	0	0	0	0	0
ENSG00000250081		0	27	0	0	0	2	0	0
CENPK		58	53	10	59	103	65	36	56
PPWD1		20	194	10	145	218	151	118	103
TRIM23		67	105	52	102	131	58	88	54
RNU6-540P		0	0	0	0	0	0	9	0
TRAPPC13		58	67	20	53	183	133	44	46
SHLD3		8	0	0	0	19	0	0	0
SGTB		57	134	24	108	164	157	75	81
NLN		103	200	63	119	410	215	209	242
ENSG00000251648		0	0	0	18	0	0	0	0
ERBIN-DT		10	0	0	4	2	0	4	0
ERBIN		692	1537	375	691	1628	1152	998	719
ENSG00000252904		0	21	0	44	4	0	0	0
SREK1		257	423	126	250	557	447	357	161
ENSG00000253744		2	6	2	14	0	6	0	0
LINC02065		0	0	0	0	1	0	0	0
MAST4		283	531	116	357	578	575	169	251
MAST4-AS1		0	0	0	0	0	0	0	0
CD180		0	0	0	2	0	0	0	0
TILRLS		0	0	0	0	0	24	0	0
ENSG00000250421		0	2	0	0	0	0	0	0
ENSG00000249894		0	1	0	0	0	0	0	0
EEF1B2P2		0	0	0	0	0	2	0	0
PIK3R1		256	203	26	126	215	128	82	89
ENSG00000248884		0	0	0	0	0	0	0	0
SLC30A5		138	523	116	262	552	392	335	282
ENSG00000248664		0	0	0	0	0	0	2	0
CCNB1		399	477	143	744	653	827	299	322
ENSG00000280187		16	58	2	2	8	23	14	0
CENPH		60	153	30	137	103	281	48	192
KGD4		0	0	2	3	18	2	4	1
CDK7		0	4	2	0	78	14	0	2
CCDC125		0	4	6	1	5	35	7	0
RAD17		0	0	0	2	18	1	0	0
MARVELD2		8	11	15	2	5	18	0	1
RN7SL616P		0	0	0	0	1	1	0	0
OCLN		16	53	21	0	80	54	34	12
GTF2H2C		7	12	0	5	63	24	13	1
ENSG00000250138		0	2	0	16	10	0	6	2
GUSBP13		3	12	0	0	32	70	9	18
ENSG00000251158		0	0	0	2	8	4	0	8
SMN2		0	2	0	2	0	0	0	0
ENSG00000254701		2	8	3	9	16	2	0	0
GUSBP14		1	8	7	19	22	13	2	0
GTF2H2B		0	60	0	19	4	60	2	0
ENSG00000237075		1	8	0	0	0	0	7	0
ENSG00000253333		6	16	0	0	6	12	0	0
ENSG00000205565		5	30	0	0	28	0	9	1
GUSBP15		0	2	4	10	6	0	2	0
