Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa05165,Human papillomavirus infection,,-2.8,6,4.6,30284,333,76,5,6.6,2.8,3910|5743|6654|7477|84699,LAMA4|PTGS2|SOS1|WNT7B|CREB3L3,-0.52,MyList
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-2.8,5.9,4.6,30284,335,76,5,6.6,2.8,2069|5465|11093|25987|80274,EREG|PPARA|ADAMTS13|TSKU|SCUBE1,-0.51,MyList
GO Biological Processes,19,GO:0008544,epidermis development,19_GO:0032502 developmental process,-2.8,5.9,4.5,30284,339,76,5,6.6,2.8,2069|5465|6654|7053|79152,EREG|PPARA|SOS1|TGM3|FA2H,-0.49,MyList
GO Biological Processes,19,GO:0034308,primary alcohol metabolic process,19_GO:0009987 cellular process,-2.8,13,5.7,30284,93,76,3,3.9,2.2,1543|1545|195814,CYP1A1|CYP1B1|SDR16C5,-0.49,MyList
GO Biological Processes,19,GO:0044706,multi-multicellular organism process,19_GO:0032501 multicellular organismal process,-2.8,7.9,4.9,30284,203,76,4,5.3,2.6,1543|5743|8605|23764,CYP1A1|PTGS2|PLA2G4C|MAFF,-0.48,MyList
Canonical Pathways,11,M5883,NABA SECRETED FACTORS,,-2.8,5.8,4.5,30284,343,76,5,6.6,2.8,1953|2069|7477|9518|80274,MEGF6|EREG|WNT7B|GDF15|SCUBE1,-0.48,MyList
GO Biological Processes,19,GO:0019216,regulation of lipid metabolic process,19_GO:0050789 regulation of biological process,-2.8,5.8,4.5,30284,343,76,5,6.6,2.8,1917|5465|5743|9518|54658,EEF1A2|PPARA|PTGS2|GDF15|UGT1A1,-0.48,MyList
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-2.7,5.8,4.5,30284,346,76,5,6.6,2.8,360|1543|5743|7412|11093,AQP3|CYP1A1|PTGS2|VCAM1|ADAMTS13,-0.47,MyList
GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-2.7,5.7,4.5,30284,347,76,5,6.6,2.8,290|1545|2069|2838|5743,ANPEP|CYP1B1|EREG|GPR15|PTGS2,-0.47,MyList
GO Biological Processes,19,GO:0015695,organic cation transport,19_GO:0051179 localization,-2.7,12,5.6,30284,97,76,3,3.9,2.2,6520|6581|8140,SLC3A2|SLC22A3|SLC7A5,-0.46,MyList
GO Biological Processes,19,GO:0009308,amine metabolic process,19_GO:0009987 cellular process,-2.7,12,5.6,30284,97,76,3,3.9,2.2,1543|6581|7412,CYP1A1|SLC22A3|VCAM1,-0.46,MyList
GO Biological Processes,19,GO:0042633,hair cycle,19_GO:0032501 multicellular organismal process,-2.7,12,5.6,30284,98,76,3,3.9,2.2,5743|6654|7053,PTGS2|SOS1|TGM3,-0.46,MyList
GO Biological Processes,19,GO:0042303,molting cycle,19_GO:0032501 multicellular organismal process,-2.7,12,5.6,30284,98,76,3,3.9,2.2,5743|6654|7053,PTGS2|SOS1|TGM3,-0.46,MyList
GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-2.7,4.6,4.2,30284,519,76,6,7.9,3.1,5465|5743|6581|8140|9424|9962,PPARA|PTGS2|SLC22A3|SLC7A5|KCNK6|SLC23A2,-0.46,MyList
KEGG Pathway,24,hsa05231,Choline metabolism in cancer,,-2.7,12,5.5,30284,99,76,3,3.9,2.2,6581|6654|8605,SLC22A3|SOS1|PLA2G4C,-0.45,MyList
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0009987 cellular process,-2.7,5.6,4.4,30284,355,76,5,6.6,2.8,1543|1591|3032|9615|132158,CYP1A1|CYP24A1|HADHB|GDA|GLYCTK,-0.45,MyList
GO Biological Processes,19,GO:0043010,camera-type eye development,19_GO:0032502 developmental process,-2.7,5.6,4.4,30284,355,76,5,6.6,2.8,1543|1545|6654|7477|25987,CYP1A1|CYP1B1|SOS1|WNT7B|TSKU,-0.45,MyList
GO Biological Processes,19,GO:0006766,vitamin metabolic process,19_GO:0009987 cellular process,-2.6,11,5.3,30284,106,76,3,3.9,2.2,1543|1591|9962,CYP1A1|CYP24A1|SLC23A2,-0.37,MyList
GO Biological Processes,19,GO:0097306,cellular response to alcohol,19_GO:0050896 response to stimulus,-2.6,11,5.3,30284,107,76,3,3.9,2.2,1545|9962|54658,CYP1B1|SLC23A2|UGT1A1,-0.37,MyList
KEGG Pathway,24,hsa04922,Glucagon signaling pathway,,-2.6,11,5.3,30284,107,76,3,3.9,2.2,5465|84699|102724428,PPARA|CREB3L3|LOC102724428,-0.37,MyList
WikiPathways,27,WP4321,Thermogenesis,,-2.6,11,5.3,30284,108,76,3,3.9,2.2,6654|51703|84699,SOS1|ACSL5|CREB3L3,-0.36,MyList
GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-2.5,4.3,3.9,30284,562,76,6,7.9,3.1,1545|1591|3484|5465|6654|54658,CYP1B1|CYP24A1|IGFBP1|PPARA|SOS1|UGT1A1,-0.31,MyList
GO Biological Processes,19,GO:0046718,symbiont entry into host cell,19_GO:0016032 viral process,-2.5,10,5.1,30284,114,76,3,3.9,2.2,290|2838|6520,ANPEP|GPR15|SLC3A2,-0.3,MyList
GO Biological Processes,19,GO:0044409,symbiont entry into host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5,10,5.1,30284,114,76,3,3.9,2.2,290|2838|6520,ANPEP|GPR15|SLC3A2,-0.3,MyList
GO Biological Processes,19,GO:0098773,skin epidermis development,19_GO:0032502 developmental process,-2.5,10,5,30284,118,76,3,3.9,2.2,6654|7053|79152,SOS1|TGM3|FA2H,-0.27,MyList
Reactome Gene Sets,6,R-HSA-5668914,Diseases of metabolism,,-2.5,6.6,4.4,30284,243,76,4,5.3,2.6,1545|1591|4586|11093,CYP1B1|CYP24A1|MUC5AC|ADAMTS13,-0.27,MyList
KEGG Pathway,24,hsa04668,TNF signaling pathway,,-2.5,10,5,30284,119,76,3,3.9,2.2,5743|7412|84699,PTGS2|VCAM1|CREB3L3,-0.26,MyList
GO Biological Processes,19,GO:0006006,glucose metabolic process,19_GO:0009987 cellular process,-2.5,10,4.9,30284,120,76,3,3.9,2.2,4938|5465|80201,OAS1|PPARA|HKDC1,-0.26,MyList
GO Biological Processes,19,GO:0032355,response to estradiol,19_GO:0050896 response to stimulus,-2.5,10,4.9,30284,120,76,3,3.9,2.2,1545|5743|54658,CYP1B1|PTGS2|UGT1A1,-0.26,MyList
GO Biological Processes,19,GO:0001654,eye development,19_GO:0032502 developmental process,-2.5,4.9,4,30284,403,76,5,6.6,2.8,1543|1545|6654|7477|25987,CYP1A1|CYP1B1|SOS1|WNT7B|TSKU,-0.26,MyList
GO Biological Processes,19,GO:0006633,fatty acid biosynthetic process,19_GO:0009987 cellular process,-2.5,9.9,4.9,30284,121,76,3,3.9,2.2,1543|5743|79152,CYP1A1|PTGS2|FA2H,-0.25,MyList
GO Biological Processes,19,GO:0150063,visual system development,19_GO:0032502 developmental process,-2.4,4.9,4,30284,407,76,5,6.6,2.8,1543|1545|6654|7477|25987,CYP1A1|CYP1B1|SOS1|WNT7B|TSKU,-0.25,MyList
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-2.4,4.1,3.8,30284,588,76,6,7.9,3.1,2069|2635|4938|5743|9424|84699,EREG|GBP3|OAS1|PTGS2|KCNK6|CREB3L3,-0.25,MyList
GO Biological Processes,19,GO:0048880,sensory system development,19_GO:0032502 developmental process,-2.4,4.8,3.9,30284,414,76,5,6.6,2.8,1543|1545|6654|7477|25987,CYP1A1|CYP1B1|SOS1|WNT7B|TSKU,-0.22,MyList
GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0009987 cellular process,-2.4,4,3.7,30284,602,76,6,7.9,3.1,1543|5743|8605|51703|64781|79152,CYP1A1|PTGS2|PLA2G4C|ACSL5|CERK|FA2H,-0.21,MyList
GO Biological Processes,19,GO:0097237,cellular response to toxic substance,19_GO:0050896 response to stimulus,-2.4,9.3,4.7,30284,128,76,3,3.9,2.2,1545|5743|6581,CYP1B1|PTGS2|SLC22A3,-0.2,MyList
GO Biological Processes,19,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,19_GO:0050896 response to stimulus,-2.3,4.6,3.8,30284,430,76,5,6.6,2.8,2069|3484|6654|9518|25976,EREG|IGFBP1|SOS1|GDF15|TIPARP,-0.16,MyList
GO Biological Processes,19,GO:0001889,liver development,19_GO:0032502 developmental process,-2.3,8.9,4.6,30284,134,76,3,3.9,2.2,1543|8140|54658,CYP1A1|SLC7A5|UGT1A1,-0.15,MyList
GO Biological Processes,19,GO:0061008,hepaticobiliary system development,19_GO:0032502 developmental process,-2.3,8.7,4.5,30284,137,76,3,3.9,2.2,1543|8140|54658,CYP1A1|SLC7A5|UGT1A1,-0.13,MyList
GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-2.3,3.8,3.6,30284,629,76,6,7.9,3.1,2069|3484|6654|9518|25976|25987,EREG|IGFBP1|SOS1|GDF15|TIPARP|TSKU,-0.13,MyList
GO Biological Processes,19,GO:0048589,developmental growth,19_GO:0040007 growth,-2.3,4.5,3.7,30284,441,76,5,6.6,2.8,2069|3484|6654|7477|25987,EREG|IGFBP1|SOS1|WNT7B|TSKU,-0.13,MyList
GO Biological Processes,19,GO:0040007,growth,19_GO:0040007 growth,-2.3,4.5,3.7,30284,441,76,5,6.6,2.8,2069|3484|6654|7477|25987,EREG|IGFBP1|SOS1|WNT7B|TSKU,-0.13,MyList
Canonical Pathways,11,M5884,NABA CORE MATRISOME,,-2.3,5.8,4,30284,275,76,4,5.3,2.6,3484|3910|25987|342035,IGFBP1|LAMA4|TSKU|GLDN,-0.13,MyList
GO Biological Processes,19,GO:0048511,rhythmic process,19_GO:0048511 rhythmic process,-2.3,5.8,4,30284,275,76,4,5.3,2.6,1545|2069|4862|5465,CYP1B1|EREG|NPAS2|PPARA,-0.13,MyList
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-2.3,4.5,3.7,30284,442,76,5,6.6,2.8,2635|5465|5743|64838|84699,GBP3|PPARA|PTGS2|FNDC4|CREB3L3,-0.13,MyList
GO Biological Processes,19,GO:1901699,cellular response to nitrogen compound,19_GO:0050896 response to stimulus,-2.3,3.8,3.5,30284,633,76,6,7.9,3.1,1545|3484|5743|6654|7412|8140,CYP1B1|IGFBP1|PTGS2|SOS1|VCAM1|SLC7A5,-0.13,MyList
GO Biological Processes,19,GO:1905039,carboxylic acid transmembrane transport,19_GO:0051179 localization,-2.3,8.6,4.5,30284,139,76,3,3.9,2.2,6520|8140|9962,SLC3A2|SLC7A5|SLC23A2,-0.13,MyList
GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-2.3,4.4,3.7,30284,448,76,5,6.6,2.8,2069|5465|11093|25987|80274,EREG|PPARA|ADAMTS13|TSKU|SCUBE1,-0.12,MyList
GO Biological Processes,19,GO:1903825,organic acid transmembrane transport,19_GO:0051179 localization,-2.2,8.4,4.4,30284,143,76,3,3.9,2.2,6520|8140|9962,SLC3A2|SLC7A5|SLC23A2,-0.11,MyList
GO Biological Processes,19,GO:0043588,skin development,19_GO:0032502 developmental process,-2.2,5.6,3.9,30284,283,76,4,5.3,2.6,2069|6654|7053|79152,EREG|SOS1|TGM3|FA2H,-0.11,MyList
GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-2.2,3.7,3.5,30284,646,76,6,7.9,3.1,1543|2069|7053|7477|79152|80274,CYP1A1|EREG|TGM3|WNT7B|FA2H|SCUBE1,-0.11,MyList
GO Biological Processes,19,GO:1901615,organic hydroxy compound metabolic process,19_GO:0009987 cellular process,-2.2,4.3,3.6,30284,468,76,5,6.6,2.8,1543|1545|1591|25987|195814,CYP1A1|CYP1B1|CYP24A1|TSKU|SDR16C5,-0.051,MyList
GO Biological Processes,19,GO:0051701,biological process involved in interaction with host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.2,7.9,4.3,30284,151,76,3,3.9,2.2,290|2838|6520,ANPEP|GPR15|SLC3A2,-0.05,MyList
GO Biological Processes,19,GO:0051054,positive regulation of DNA metabolic process,19_GO:0048518 positive regulation of biological process,-2.2,5.4,3.8,30284,296,76,4,5.3,2.6,1545|2069|4862|253980,CYP1B1|EREG|NPAS2|KCTD13,-0.049,MyList
GO Biological Processes,19,GO:0071383,cellular response to steroid hormone stimulus,19_GO:0050896 response to stimulus,-2.2,7.8,4.2,30284,153,76,3,3.9,2.2,1545|5465|54658,CYP1B1|PPARA|UGT1A1,-0.04,MyList
GO Biological Processes,19,GO:0016042,lipid catabolic process,19_GO:0009987 cellular process,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,1545|1591|3032|8605,CYP1B1|CYP24A1|HADHB|PLA2G4C,-0.034,MyList
GO Biological Processes,19,GO:0050806,positive regulation of synaptic transmission,19_GO:0048518 positive regulation of biological process,-2.1,7.7,4.2,30284,156,76,3,3.9,2.2,5743|8878|253980,PTGS2|SQSTM1|KCTD13,-0.022,MyList
GO Biological Processes,19,GO:0062013,positive regulation of small molecule metabolic process,19_GO:0048518 positive regulation of biological process,-2.1,7.6,4.2,30284,157,76,3,3.9,2.2,5465|5743|9518,PPARA|PTGS2|GDF15,-0.017,MyList
GO Biological Processes,19,GO:0009746,response to hexose,19_GO:0050896 response to stimulus,-2.1,7.6,4.2,30284,158,76,3,3.9,2.2,5465|5743|10723,PPARA|PTGS2|SLC12A7,-0.012,MyList
KEGG Pathway,24,hsa05160,Hepatitis C,,-2.1,7.5,4.1,30284,159,76,3,3.9,2.2,4938|5465|6654,OAS1|PPARA|SOS1,-0.0069,MyList
GO Biological Processes,19,GO:0031099,regeneration,19_GO:0032502 developmental process,-2.1,7.5,4.1,30284,160,76,3,3.9,2.2,3484|8140|54658,IGFBP1|SLC7A5|UGT1A1,-0.0046,MyList
WikiPathways,27,WP706,Sudden infant death syndrome SIDS susceptibility pathways,,-2.1,7.5,4.1,30284,160,76,3,3.9,2.2,3032|6550|7433,HADHB|SLC9A3|VIPR1,-0.0046,MyList
Reactome Gene Sets,6,R-HSA-2262752,Cellular responses to stress,,-2.1,3.5,3.3,30284,690,76,6,7.9,3.1,3484|4862|5465|8878|11015|84699,IGFBP1|NPAS2|PPARA|SQSTM1|KDELR3|CREB3L3,-0.0017,MyList
KEGG Pathway,24,hsa05206,MicroRNAs in cancer,,-2.1,5.1,3.7,30284,312,76,4,5.3,2.6,1545|1591|5743|6654,CYP1B1|CYP24A1|PTGS2|SOS1,0,MyList
WikiPathways,27,WP4239,Epithelial to mesenchymal transition in colorectal cancer,,-2.1,7.4,4.1,30284,162,76,3,3.9,2.2,6654|7477|9518,SOS1|WNT7B|GDF15,0,MyList
GO Biological Processes,19,GO:0050729,positive regulation of inflammatory response,19_GO:0048518 positive regulation of biological process,-2.1,7.3,4.1,30284,163,76,3,3.9,2.2,2635|5743|84699,GBP3|PTGS2|CREB3L3,0,MyList
GO Biological Processes,19,GO:0006066,alcohol metabolic process,19_GO:0009987 cellular process,-2.1,5.1,3.6,30284,314,76,4,5.3,2.6,1543|1545|25987|195814,CYP1A1|CYP1B1|TSKU|SDR16C5,0,MyList
GO Biological Processes,19,GO:0034284,response to monosaccharide,19_GO:0050896 response to stimulus,-2.1,7.2,4,30284,165,76,3,3.9,2.2,5465|5743|10723,PPARA|PTGS2|SLC12A7,0,MyList
GO Biological Processes,19,GO:0051147,regulation of muscle cell differentiation,19_GO:0032502 developmental process,-2.1,7.2,4,30284,167,76,3,3.9,2.2,2069|5465|93145,EREG|PPARA|OLFM2,0,MyList
GO Biological Processes,19,GO:0071805,potassium ion transmembrane transport,19_GO:0051179 localization,-2.1,7.2,4,30284,167,76,3,3.9,2.2,6550|9424|10723,SLC9A3|KCNK6|SLC12A7,0,MyList
GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-2,7,4,30284,170,76,3,3.9,2.2,9518|25987|64838,GDF15|TSKU|FNDC4,0,MyList
GO Biological Processes,19,GO:0072330,monocarboxylic acid biosynthetic process,19_GO:0009987 cellular process,-2,7,3.9,30284,171,76,3,3.9,2.2,1543|5743|79152,CYP1A1|PTGS2|FA2H,0,MyList
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0032501 multicellular organismal process,-2,3.9,3.3,30284,514,76,5,6.6,2.8,1545|2069|4938|5743|8140,CYP1B1|EREG|OAS1|PTGS2|SLC7A5,0,MyList
GO Biological Processes,19,GO:0030856,regulation of epithelial cell differentiation,19_GO:0032502 developmental process,-2,6.9,3.9,30284,174,76,3,3.9,2.2,360|23764|84913,AQP3|MAFF|ATOH8,0,MyList
GO Biological Processes,19,GO:0015850,organic hydroxy compound transport,19_GO:0051179 localization,-2,6.9,3.9,30284,174,76,3,3.9,2.2,360|6581|25987,AQP3|SLC22A3|TSKU,0,MyList
